,ulasan,label
47,daring aplikasi siap mateng eror lambat aplikasi optimal eror susah masuk lambat main beli daring kasihan orang kereta bikin ribet bumn kerja,Negatif
48,update mudah layan baik,Positif
49,pliss kai baik aplikasi cepat baru aplikasi bantu beli tiket lokal pakai aplikasi otas pas beli lot banget tampil bagus fungsional tolong banget baik pagi telat kereta gra-gara lambat aplikasi lot pas masuk pilih tiket bayar dll  kasih bayar habis muat ganti sedia,Netral
50,baru eror halus aplikasi versi,Negatif
51,aplikasi kacau cari nama kota stasiun susah,Negatif
52,tuju tampil promo sedia bagus mudah versi,Negatif
53,kelas aplikasi perintah jelek ampun laden jelek,Negatif
54,mending kemarin baru,Negatif
55,pecat ui ux desainer sumpah ui bagus ux jelek ui ux desainer ide deh modal bagus tampil guna journey perhati ribet ajar ui ux-nya,Negatif
56,baru ribet susah akses mohon baik admin,Negatif
57,ribet,Negatif
58,baharu susah buka susah,Negatif
59,baru aplikasi lambat fiturnya fitur tiket tiket beli tunjuk sebab tunggu tukar tiket cetak pengat fitur kereta beli tiker kota lambat tang coba internal kai langsung main baru aplikasi maksimal,Netral
60,bagus aplikasi pilih reduksi muncul segi visualisasi bagong enak sulit paham guna interfas tuh ramai banget warna guna suka simpel main uji analisis guna sampel kayak simpel fungsi ya ubah tampil,Negatif
61,suruh tingkat basic idnum already exist admin kesal,Negatif
62,aplikasi kali baru jelek operasional lambat beda aplikasi baru operasional cepat aplikasi sulit harap aplikasi ditindaklanjuti,Negatif
63,bikin aplikasi akses eror tiket aplikasi gara eror ya manual stasiun,Negatif
64,tolong baru aplikasi maksimal paksa jalan batu buka aplikasi susah banget berak kayak bawa gunung,Negatif
65,tingkat biar tingkat parah lambat operasi sih sulit hubung media sosial media respons parah banget,Negatif
66,susah,Negatif
67,enak palikasi cepat,Negatif
68,baru ribet pesan tiket set lambat susah pesan tiket tulis habis nyata tiket sedia susah beli tiket aplikasi ha kembali sih kayak biar sulit guna terima kasih,Negatif
69,aplikasi baru sulit akses,Negatif
70,mending aplikasi kai aplikasi baru bikin emosi lambat maksimal,Negatif
71,baik,Netral
72,aplikasi susah buka beli tiket malam berangkat,Negatif
73,tolong kembali versi mudah erti,Netral
74,buruk,Negatif
75,aplikasi muas muat sih pandang sedia kartu tolong ting raka susah pakai aplikasi,Netral
76,benar sistem,Netral
77,baru bagus buruk bapuk lemah,Negatif
78,benar dulu sistem,Positif
79,kai access baharu otomatis buka,Negatif
80,bagus keren catat guna lihat jadwal akses lokasi nonaktif,Positif
81,buruk mudah sulit,Negatif
82,kecewa banget kereta suka macet hambat jalan,Negatif
83,beli tiket pakai aplikasi cek aplikasi tiket hilang tuh pertanggungjawabannya,Negatif
84,pesan reduksi baru,Netral
85,wkwk afaan kelas usaha bumn mamfu bikin aplikasi mudah sulit cuih,Negatif
86,baru kemarin bagus ramah guna parah bayar bisa habis mencet metode bayar tolong menu reschedule kembali muncul ubah berangkat bantu ulas kasih bintang semarang tim kai baik,Negatif
87,baru susah tingkat dasar pakai akun muncul tulis surel nomor telepon seluler bintang,Negatif
88,baru buruk aplikasi,Negatif
89,verifikasi kaipay lo kode otp-nya muncul kaspro identitas kerja suka aplikasi lambat,Konflik
90,muat aplikasi enak versi,Negatif
91,baru versi baru bagus buruk lambat banget mudah sulit serasa turun versi,Negatif
92,tingkat baru sayang program ubah muas mohon milik kayak mudah aplikasi,Negatif
93,baru aplikasi otomatis buka bagus buruk,Negatif
94,mantap,Positif
95,sadar baru kai access access by kai kirain sengaja copot tahu ganti nama fiturnya ikon enak tampil sih layan pesan tiket doang sih jual pulsa data bayar listrik aplikasi berat pesan tiket susah daftar stasiun muncul,Negatif
96,baru buruk masuk bufer puluh menit kondisi jaring bagus sumpah aplikasi enak baru,Negatif
97,aplikasi berat banget benar pergi pergi kereta susah baru bikin aplikasi rusak,Negatif
98,aplikasi jelek banget sih,Negatif
99,bagus versi mudah lengkap tingkat efisiensi eror,Netral
100,baru aplikasi kacau balau sumpah najis deh,Negatif
101,aplikasi matang-mending publikasi,Netral
102,parah aplikasi,Negatif
103,baru lemah,Negatif
104,bagus,Positif
105,latar belakang ganti kai access access by kai sumpah kecewa banget kualitas tingkat unduh pesan tiket lelet tambah daftar tumpang muat banget tolong tampil ubah akses mudah tingkat sih cepat baik maaf,Netral
106,jujur versi simpel mudah tinggal pilih tanggal langsung lihat sedia tiket versi baru ribet klik kereta lihat sedia tiket,Negatif
107,ulang ulang,Negatif
108,mudah ribet antre tunggu loket buka sayang kursi,Positif
109,top markotop,Positif
110,versi baru buruk masuk via surel nomor telepon seluler putar kecambah,Positif
111,ribet bagus aplikasi,Negatif
112,buka aplikasi langkah proses banget beda cepat halaman utama moga baik terima kasih,Netral
113,suka kereta,Positif
114,bikin pusing aplikasi baru kayak,Negatif
115,tingkat bank hitam,Negatif
116,melulu,Negatif
117,aplikasi sulit guna lambat banget,Negatif
118,anjing masuk gagal baru ribet,Negatif
119,fitur pilih busa akses running versi rugi konsumen desak butuh reshcedulle tiket coba telepon layan center solusi coba manual copot unduh pasang perhati,Negatif
120,pakai,Positif
121,enak aplikasi,Negatif
122,buka baru,Negatif
123,ui oke ux cari beli tiket tiket jual tulis sedia kisar harga tawar pilih makan mes tiket konyol pilih beli tiket beli makan aneh kecewa sih ux kemarin,Negatif
124,bangku pas pilih nomor tagih payah baru payah tampil mudah berat problem solve,Negatif
125,ya tingkat reduksi,Netral
126,kembali kai access jelek banget lihat tiket kayak misteri harga langsung muncul klik mudah baru mundur,Negatif
127,selaras bijak andal aplikasi atur calon tumpang kereta lokal pesan tiket aplikasi aplikasi andal cepat layan aplikasi daya tarik calon tumpang tumpang nyaman performa aplikasi buruk,Netral
128,aneh banget aplikasi baru buruk pakai masuk putar bagus lot masuk langsung verifikasi masuk nomor verifikasi putar verifikasi mudah bikin emosi,Negatif
129,aplikasi bikin promo juragan,Negatif
130,aplikasi baru mudah susah bagus baru mudah erti,Negatif
131,parah baru buka aplikasi mudah sulit,Negatif
132,baru masuk surel masuk daftar pakai surel,Netral
133,ribet unduh cari kereta klik kereta sedia kursi enak aplikasi langsung sedia kursi,Negatif
134,guna mudah ringan,Positif
135,mudah langgan baru maaf bintang suka aplikasi mudah erti langgan guna,Negatif
136,aplikasi,Negatif
137,teman ganti jadwal kereta stasiun ganti tampil,Netral
138,sih susah masuk masuk pulang pergi kerja kereta tolong benah mudah,Negatif
139,halo admin ya pas baru si aplikasi susah buka mentok logo kainya tolong cepat baik aplikasi,Negatif
140,aplikasi ribet susah masuk tolong baik,Negatif
141,butuh akses kereta malas banget deh pakai aplikasi minggu muat eror orang tuh buru bikin emosi pas stasiun suruh loket loket suruh tugas sebal banget tinggal jadwal kereta buru orang beli loket ya benar tua aplikasi rugi orang,Negatif
142,admin mohon bantu kendala masuk sedia jaring tri,Negatif
143,baru praktis habis ya display atas,Negatif
144,habis baru bagus aneh bobrok banget tambah acara promo agustus akun akses baru aplikasi bagus bobrok,Negatif
145,pas habis baru susah masuk otak baru gampang beda nih,Negatif
146,butuh eror tinggal kereta aplikasi transportasi canggih cepat paut,Negatif
147,kayak normal sukses access by kai,Positif
148,ampas kayak,Negatif
149,susah banget buka ujung loket sebal mepet,Negatif
150,saran mending pakai aplikasi pesan tiket aplikasi ribet lambat baru masuk nomor telepon seluler muat putar jam bilang transportasi nyaman murah bikin macet iya lihat kendala desak susah diribetkan,Konflik
151,aplikasi cacat pulang,Negatif
152,lot banget banget buka muat jaring bangus aplikasi tingkat buka masuk otp-nya surel sms kasih otp,Negatif
153,baru buka warna sampul,Negatif
154,mantap,Positif
155,aplikasi load,Netral
156,aplikasi ribet simpel versi aplikasi lambat,Negatif
157,suka aplikasi baru,Negatif
158,baru masuk aplikasi kembang aplikasi rilis pakai otp surel masuk aplikasi,Negatif
159,baru busuk kembali ignatua jonan reformasi kai jabat kerja ya,Negatif
160,lancar mana coba masuk deh,Konflik
161,verry good,Positif
162,kualitas turun baru pesan tiket mohon baik pesan,Negatif
163,turut sebal ya promo laden mengendahkan masuk,Negatif
164,gampang aplikasi tingkat kualitas,Negatif
165,kacau,Negatif
166,kirain ganti nama kayak maaf bintang,Negatif
167,kai bikin aplikasi rugi anjing,Negatif
168,susah pesan kali baru aplikasi lola,Negatif
169,jelek aplikasi bagus masuk eror kembang kocak,Negatif
170,tingkat otomatis pakai aplikasi kai,Negatif
171,habis baru buka aplikasi tolong baik bagus baru buka,Negatif
172,aneh buka baru turun buka ala baru,Negatif
173,astaga mohon baik ya ampun deh,Negatif
174,buka aplikasi kai-nya,Negatif
175,lancar aplikasi kai access baru ya,Negatif
176,aplikasi tolol masuk stak logo kai access doang jaring bagus pakai wifi jaring seluler aplikasi kayak monyet,Negatif
177,bagus aplikasi baru aplikasi ribet mohon baik,Negatif
178,aplikasi buka kembal putih ya layar masuk unduh aplikasi baru buka aplikasi,Negatif
179,baru aplikasi buka henti logo acces by kai,Negatif
180,maaf baru buka diam logo kai access tolong tindak perhati terima kasih,Negatif
181,semenjak baru,Negatif
182,habis baru buka,Negatif
183,setruk logo habis upgrate mengebug lola banget sedih banget sekali pas bayar,Negatif
184,aplikasi buka,Netral
185,hafuch aplikasi kayak kai,Netral
186,aplikasi ya baru pakai,Negatif
187,baru kai acces susah masuk duh,Negatif
188,payah banget down,Negatif
189,aplikasi baru berat,Negatif
190,tingkat lambat pesan tiket pulang ya allah,Negatif
191,baik tim it gerak perintah,Netral
192,baru buka,Negatif
193,luemot baru kecewa di-trial luncur baru moga cepat benah,Negatif
194,turun aplikasi tolong baik guna setia ka baru aplikasi eror,Negatif
195,halo kembang semenjak baru tampil jam siang aplikasi buka guna aplikasi iritasi makan siang tolong henti konyol,Negatif
196,aplikasi peduli lindung baru,Netral
197,aplikasi lambat cacat aplikasi rosak lambat kayak siput rawa,Negatif
198,baru susah,Negatif
199,aplikasi masuk aplikasi tunggu tunggu tunggu banget guna baru mudah apa sulit konsumen sulit konsumen selesai bangkrut,Negatif
200,mudah sulit komentar keluh baik tingkat buka kecewa,Negatif
201,aplikasi jelek buka korupsi biaya pelihara tingkat jelek bikin emosi,Negatif
202,baru buka halaman,Negatif
203,mantap,Positif
204,hasil beli pas berangkat tipu tiket aplikasi buka apa,Negatif
205,baru buruk ampun deh gagal mudik,Negatif
206,aplikasi lot bgdd muat doang efisien baru bikin emosi ribet praktis,Negatif
207,baru baru tampil oke kualitas turun banget load pas buka aplikasi pas mencet menu pas bayar muat banget bayar gagal butuh cepat simpel mudah butuh tampil modern banget ala anak muda performa butuh,Negatif
208,aplikasi jelek isi saldo beli tiket masuk bayar saldo kosong tiket sih,Negatif
209,aplikasi eror aneh baru kayak turun kelas bayar qris gagal sudak isi ulang dana taut ovo aneh banget qrisnya gagal uang habis isi ulang aplikasi tatap guna aplikasi lambat banget badahal sinyal kencang telepon seluler spesifikasi lumayan aneh banget deh aplikasi,Negatif
210,mantap,Positif
211,keren baru baru,Positif
212,baru bagus emosi bayar wallet susah sandi ovo muncul bayar gagal baru ovo kesal banget bagus kai access versi,Negatif
213,tolong nih beli tiket bayar aplikasi buka canda beli tiket murah lo ya milik aplikasi tolong benar stabil aplikasi cetak tiket astaghfirullah,Negatif
214,bagus sih menu cepat sulit masuk aplikasi ter masuk depan opsi bayar komuter pakai kaipay mohon aplikasi baik,Positif
215,baru besar aplikasi kai bagus respons cepat ui keren kurang metode bayar wallet opsi ovo wallet gopay shopeepay dana virtual account,Positif
216,aplikasi sgt jelek bagus kemarin masuk bayar pakai ovo,Negatif
217,kasih bintang aplikasi bagus bayar rada ribet mohon wallet gopay dana ada bayar ribet banking transaksi kendala mohon tingkat layan konsumen nyaman,Positif
218,baru mudah ribet qris deteksi bayar,Negatif
219,kualitas buruk akses masuk kereta gara-gara aplikasi baru beli tiket kai bohong publik uang bayar pesan tiket hangus berangkat dipertanggungjawabkan,Negatif
220,aplikasi susah enak pakai taut tinggal pencet taut susah bayar,Negatif
221,beli tiket cek akun kai access menu tiket muncul eror pesan bayar lancar aplikasi kocak,Negatif
222,buruk aplikasi aplikasi tampil bagus lamban eror butuh tiket cepat hambat,Negatif
223,tampil lemah grade buka aplikasi masuk ulang fokus ka aplikasi jual tiket,Negatif
224,aplikasi parah lambat tampil,Negatif
225,aplikasi tampil baru eror buka buru pesan tiket parah banget sih,Negatif
226,eh baru buka aplikasi keluar buka pusing tampil warna-warni baru bagus admin baru coba ganggu,Negatif
227,pilih ganti tampil otomatis tingkat pesan tiket muat sih,Negatif
228,baru aplikasi bikin susah tampil bikin pusing repot tipu barkode qris unduh pakai telepon seluler kecewa,Negatif
229,mending versi admin simpel habis baru tampil enak eror melulu,Negatif
230,mudah tampil akses tolong baik tampil kali antarkota klik bawah tampil penuh aplikasi henti terima kasih atensi mohon baik pesan tiket antarkota mudah,Positif
231,tampil aplikasi bagus eh jelek masuk idnum already exist kayak pesan tiket aplikasi,Negatif
232,aplikasi kemarin baru masuk kagak otp keluar bagus sih bagus tampil akun masuk,Negatif
233,telepon seluler tampil kayak baru tampil gambar tera play store bintang okel,Negatif
234,baru baru tampil baru buka baik sulit tiket habis nongol suka tampil simpel beribet,Negatif
235,fitur lengkap sulit mengoprasikan fitur ribet efisien enak aplikasi baru fitur filter nama kereta tampil buruk banget lambat banget fokus aplikasi khusus kai,Negatif
236,bagus nih tampil enak enteng aplikasi berat,Positif
237,buka aplikasi layar bank buruk tampil,Negatif
238,maaf unduh ulang tampilanya ya,Netral
239,tampil ganti otomatis buka ya tiket pesan september kode mesan mohon solusi,Negatif
240,otomatis baru versi repot muat verifikasi bolak-balik pesan tiket kendala pp kerja commuter versi langgan rugi jujur kecewa,Negatif
241,baru buka ya pesan,Negatif
242,tolong baik cepat baru kemarin pagi aplikasi normal pagi buka aplikasi pas beli tiket stasiun kembali aplikasi cari stasiun laden kai masalah kah tunggu baik pesan jum kai lokal lokal beli stasiun,Negatif
243,aplikasi rumit repot pesan tiket mesti tingkat anggota tingkat legkap informasi gagal,Negatif
244,aneh lambat sulit sulit pesan tiket,Negatif
245,buka kali access by kai pesan tiket jtb gmr kelas exc tambah assuransi pilih urung pesan kecuali assuransi wajib perintah swasta,Netral
246,pesan commuter line surabaya pasuruan ya kartu kredit aplikasi jabodetabek yogyakarta,Netral
247,usaha baru kai access otomatis baru kesal banget asli mudah aplikasi aplikasi baru lambat pesan tiket langkah maaf kai access,Negatif
248,selesai baru buka aplikasi bugnya kembali repot pesan tiket sengaja spt hehe,Negatif
249,kadang suka pas pesan kadang henti logo kai-nya,Negatif
250,daftar anggota basic pesan tiket repot eror sistem pesan daring,Negatif
251,layan railfood buruk pesan hitam tulis barang saldo kurang makan,Negatif
252,suka versi versi devis kompatibel pesan tiket,Negatif
253,aplikasi baru buruk pesan tiket susah masuk anggota nomor telepon genggam acak ganti layan jelek banget muas langgan,Negatif
254,buka pesan tiket menendara,Negatif
255,aplikasi keren mudah deh pesan tiket pergi semangat sahabat kai,Positif
256,ubah jadwal pesan tiket minggu kursi kosong,Negatif
257,ubah baru cerah pakai aplikasi,Negatif
258,baru hancur bos masuk aplikasi hapus unduh masuk,Negatif
259,bagus baru aplikasi buruk bintang,Negatif
260,bagus baru butut,Negatif
261,nyala ac-nya ya panas banget,Negatif
262,payah baru baru buka lambat failed data,Negatif
263,aplikasi buruk jaja baru masuk kembali aplikasi,Negatif
264,apikasi buruk,Negatif
265,versi,Netral
266,tingkat eror fungsi masuk beli tiket isi kacauww,Negatif
267,baru besar tampil eror aplikasi rilis aplikasi baru maksimal kualitas,Negatif
268,uangel,Negatif
269,baru baru ribet,Negatif
270,baru berat buka memblank putih doang ux lihat detail harga sedia ribet buka moga diimprove,Negatif
271,mudah,Positif
