,ulasan,label
25,baru kemarin bagus ramah guna parah bayar bisa habis mencet metode bayar tolong menu reschedule kembali muncul ubah berangkat bantu ulas kasih bintang semarang tim kai baik,Positif
26,tampil bagus muat mending versi simpel cepat,Positif
27,bicara sih pas aju prod baru ui aplikasi lambat lambat parah,Negatif
28,sadar baru kai access access by kai kirain sengaja copot tahu ganti nama fiturnya ikon enak tampil sih layan pesan tiket doang sih jual pulsa data bayar listrik aplikasi berat pesan tiket susah daftar stasiun muncul,Negatif
29,simpel,Negatif
30,aplikasi baru otomatis tampil ribet bikin bingung simpel tampil baru mudah,Negatif
31,baru lambat interface enak beli tiket susah mohon baik guna kai pekan,Negatif
32,tampil mudah,Positif
33,tampil ui jelek simpel elegan,Negatif
34,ui oke ux cari beli tiket tiket jual tulis sedia kisar harga tawar pilih makan mes tiket konyol pilih beli tiket beli makan aneh kecewa sih ux kemarin,Positif
35,bangku pas pilih nomor tagih payah baru payah tampil mudah berat problem solve,Negatif
36,kembali kai access jelek banget lihat tiket kayak misteri harga langsung muncul klik mudah baru mundur,Negatif
37,maaf komplain programmer desain tampil ui ux aplikasi akun suka tampil tampil data kuat aplikasi responsif versi,Negatif
38,tampil bagus mudah nyaman,Positif
39,baru ubah tampil lempot asli pakai masuk kereta buka aplikasi pakai banget untung tinggal kereta gegara tenang buka aplikasi masuk lemootnya pakai banget bantu jaring wifi,Negatif
40,tampil bagus masuk aplikasi emosi banget,Positif
41,mudah tampil ruwet buka aplikasi banget,Negatif
42,ui matang lawan susah doang henti muat tangkap layar,Negatif
43,baru baru tampil oke kualitas turun banget load pas buka aplikasi pas mencet menu pas bayar muat banget bayar gagal butuh cepat simpel mudah butuh tampil modern banget ala anak muda performa butuh,Positif
44,tampil oke banget sayang metode bayar batas kartu debit mandiri ovo mohon tambah hapus gopay dana debit bri mandiri bca,Positif
45,baru besar aplikasi kai bagus respons cepat ui keren kurang metode bayar wallet opsi ovo wallet gopay shopeepay dana virtual account,Positif
46,baru mudah ribet qris deteksi bayar,Negatif
47,banget aplikasi masuk surel data deteksi daftat pakai baharu data deteksi sistem tampil masalah coba pasang ulang kayak bagus ribet mesan tiket,Negatif
48,laden baik tampil baru berat,Negatif
49,baru lambat buka aplikasi banget tampil antarmuka bagus tolong baik,Negatif
50,tampil oke sistem lot banget admin kira jaring lambat ulang telepon seluler pesan seribet mending,Positif
51,buruk aplikasi aplikasi tampil bagus lamban eror butuh tiket cepat hambat,Positif
52,tampil lemah grade buka aplikasi masuk ulang fokus ka aplikasi jual tiket,Negatif
53,aplikasi parah lambat tampil,Negatif
54,aplikasi efektif pilih kursi tampil kursi mending aplikasi efektif efisien,Negatif
55,aplikasi tampil baru eror buka buru pesan tiket parah banget sih,Negatif
56,mohon maaf tarik tampil baru visual segar experience rumit ruwet lambat mohon kembali versi kaca bca baru rasa nyaman kai access serius salah satu pilih kereta turun pilih kursi gulir nyaman versi simpel gold coba evaluasi,Negatif
57,jarang banget asih ulas super lambat banget kira eh tampil doang buka aplikasi lot pol kayak bur buka pas tipu batang ya,Positif
58,baru masuk segi tampil oke performa buruk,Positif
59,tampil buruk lambat,Negatif
60,semenjak baru berat tampil nyaman,Negatif
61,tampil bagus muat lambat bagus admin info lengkap aplikasi lot,Positif
62,baru aplikasi bikin susah tampil bikin pusing repot tipu barkode qris unduh pakai telepon seluler kecewa,Negatif
63,baru tampilanya logo cermin kai digedin tulis access-nya kai tampil pilih kereta jelek banget ikut ota mending kembali gede nama kereta harga,Negatif
64,tampil ramah guna,Negatif
65,cari tiket susah turun ganggu tiket nilai tampil versi sesal tiket sedia harga dsb  tersorting judul tiket saran kembali tampil tiket versi,Negatif
66,capek hidup lihat capek access by kai baru tampil bikin kecoh buka biar lihat tiket habis ribet sih turut ya judge dapat orang beda,Negatif
67,mending versi admin simpel habis baru tampil enak eror melulu,Negatif
68,suka tampil tampil bikin riweh dikit suka lot pesan tiket cpt pencet tolong ayo kembali tampil kayak,Negatif
69,tampil oke mesan cepat langsung,Negatif
70,ki baru tampil nyar apik laki kenek buka ki admin,Negatif
71,tampil kai access tampil guna frandly eror moga tampil satset mudah mes tiket metode pembayrannya,Positif
72,ya habis baru muat banget tampil tiket langsung tahu tiket tinggal klik tahu,Negatif
73,tampil baru bikin bingung,Negatif
74,fitur tampil segi guna banget buka muat lot mati tingkat,Konflik
75,mudah tampil akses tolong baik tampil kali antarkota klik bawah tampil penuh aplikasi henti terima kasih atensi mohon baik pesan tiket antarkota mudah,Positif
76,tampil senang youth fasilitas fungsi nama spesial orang mudah cari kai access nama kai access keren spesial identitas aplikasi pesan tiket kereta api access makna revamp ya revamp aneh bikin stasiun lupa jalan akses aneh hem kayak livin by mandiri,Positif
77,tampil segar kemarin mudah efisien fitur kemarin hilang filter variatif pilih,Konflik
78,tampil aplikasi bagus eh jelek masuk idnum already exist kayak pesan tiket aplikasi,Negatif
79,tampil segar ya ampun muat,Positif
80,tampil alit buruk syekali masuk susah pesan tiket sih kerja susah beli karcis langsung ribet banget deh,Negatif
81,ramah tampil guna baru,Negatif
82,aplikasi kemarin baru masuk kagak otp keluar bagus sih bagus tampil akun masuk,Positif
83,sebal tampil baru aplikasi jelek out masuk susah kali pasang ulang,Negatif
84,baru aplikasi lot buka kai accessnya enak tampil baru,Negatif
85,baru tampil colour full lengkap jadwal commuterline,Positif
86,baru baru tampil baru buka baik sulit tiket habis nongol suka tampil simpel beribet,Negatif
87,fitur lengkap sulit mengoprasikan fitur ribet efisien enak aplikasi baru fitur filter nama kereta tampil buruk banget lambat banget fokus aplikasi khusus kai,Negatif
88,tarik sisi tampil akurat informasi jalan kereta api,Positif
89,jujur bagus simpel versi admin versi baru aneh banget tampil bikin bingung ribet tolong baik bikin tampil versi bintang,Negatif
90,bagus tampil mudah,Negatif
91,baru lot mending aplikasi tampil oke parah lot banget,Positif
92,maaf bintang baru pilih tiket tampil relasi buka lihat sedia mending kayak tampil langsung baca sedia,Negatif
93,muat buka aplikasi jadwal krl enak tampil lihat jadwal jam stasiun mohon benah tampil jam penuh stasiun lihat manual,Negatif
94,buka aplikasi tampil layar gelap buka aplikasi buka banget menit buka tolong respons admin,Negatif
95,tingkat tampil buruk aplikasi payah,Negatif
96,aplikasi tampil eror enak aplikasi,Negatif
97,poin ulas kai access access by kai colok fitur mesan opsi railfood layan masuk biar pes efisien raya lintas mesan tiket padat kejar pilih kursi tampil denah kursi gulir ramah guna kiga opsi gerbong,Negatif
98,bagus nih tampil enak enteng aplikasi berat,Positif
99,tampil enak tampil kayak pelangi padu warna cocok,Negatif
100,tampil oke tarik baca ulas tingkat main tingkat imbas buru tinggal kereta lambat aplikasi rencana keter terima kasih,Positif
101,buka aplikasi layar bank buruk tampil,Negatif
102,tampil mudah sulit kasihan orang awam mesan aplikasi kai access,Negatif
103,terima kasih baru tampil ui-nya keren,Positif
104,suka tampil kai mobile tampil upgrafe ribet simpel aplikasi kai tiket habis tampil lis habis tiket muncul daftar,Negatif
105,tampil suka iconic,Negatif
106,terima kasih tampil intuitif,Positif
107,tampil fitur unggul baru tarik,Negatif
108,tampil baru ramah baru,Negatif
109,familier tampil baru,Negatif
110,baru copot ulang tampil aplikasi aneh banget,Negatif
111,senang tampil,Positif
112,tampil eror log in ulang coba pesan tiket tingkat basic anggota ikut langkah muncul tulis hidnum has already exist isi,Negatif
113,baru ya buka aplikasi muat tampil bagus muat buka aplikasi tunggu lebaran gajah mending cepat buka akses,Positif
114,tampil bagus baru lambat baru akses fitur lancar jaya fitur commuter line lancar banding via aplikasi acces,Positif
115,baru simpel lihat tiket sedia klik tera harga rendah harga sedia versi tinggal gulir isi stasiun isi ulang aplikasi hilang pilih antarkota lokal klik back tinggal klik belah pesan tiket klik,Negatif
116,pemberitahuan otomatis baru aplikasi baru pakai copot kali masuk ulang kali restart telepon seluler kali menu data pemberitahuan kedaluwarsa mesan habis sila mesan ulang pesan,Negatif
117,nih habis baru bikin bingung pesan tiket langsung tiket sedia habis buka nama kereta,Negatif
