,ulasan,label
32,baru aplikasi lambat banget admin pas masuk masuk terang failed pakai kai acces tolong pakai aplikasi aplikasi ya bikin simpel mudah akses susah,Negatif
33,lot masuk menu lambat kadang akun masuk masuk masuk,Negatif
34,aplikasi kai akses barusan baru pas beres baru pas masuk pasuk surel muat beda versi eror lambat jaring bagus cepat baik besok berangkat lokal bandung timur,Negatif
35,dih gemas banget aplikasi kai sih pakai ubah enak lambat pol fiturnya jelas tolong deh kembali aplikasi kai,Negatif
36,buka aplikasi lambat ya tingkat,Negatif
37,baru aplikasi lambat susah beli tiket sulit pemboardan,Negatif
38,aplikasi lambat batal bayar muat limit bayar habis,Negatif
39,sih hancur aplikasi akses muat,Negatif
40,masuk sulit lelet banget susah masuk masuk aduh,Negatif
41,aplikasi lambat parah menu menu fokus jual tiket alih fungsi,Negatif
42,semenjak baru aplikasi lot tampil bingung kereta penuh muncul,Negatif
43,lambat banget enak pakai aplikasi baru,Negatif
44,baru versi pesan tiket wifi-nya pakai sedia kerut melulu kadang teman pesan tiket versi baru pakai tiket tangkap layar gara-perkara aplikasi mengobut kereta kerja mesti beli daring luring tolong baik komplain cepat benah terima kasih,Negatif
45,lot pesan tiket lokal muat pesan daring aplikasi lambat parah sulit sulit,Negatif
46,daring aplikasi siap mateng eror lambat aplikasi optimal eror susah masuk lambat main beli daring kasihan orang kereta bikin ribet bumn kerja,Negatif
47,pliss kai baik aplikasi cepat baru aplikasi bantu beli tiket lokal pakai aplikasi otas pas beli lot banget tampil bagus fungsional tolong banget baik pagi telat kereta gra-gara lambat aplikasi lot pas masuk pilih tiket bayar dll  kasih bayar habis muat ganti sedia,Negatif
48,ribet jadwal habis langsung buka muncul jam berangkat efisien cari jam bangku lambat lambap lemoot banget selesai iai data pilih kursi muat banget,Negatif
49,versi lambat pol mending versi,Negatif
50,lambat isi ulang eror,Negatif
51,tingkat lambat pilih kursi buka aplikasi suruh masuk,Negatif
52,tuju tampil promo sedia bagus mudah versi,Negatif
53,kasih bintang tingkat aplikasi baru lambat susah operasi aplikasi guna aktif minggu pst pakai aplikasi kai hafal banget beda aplikasi pilih kereta muat super tampil kereta tiket habis leta rurut kecoh lawan aplikasi baru uji coba biar mermanfaat keribetannya,Negatif
54,baru beli tiket ya putar tolong depan ui-nya baik mending versi versi jelek banget performa,Negatif
55,buka aplikasi baru,Negatif
56,baru lambat,Negatif
57,mohon maaf baru akses lambat aplikasi pilih kursi timeout tunggu habis,Negatif
58,aplikasi kali baru jelek operasional lambat beda aplikasi baru operasional cepat aplikasi sulit harap aplikasi ditindaklanjuti,Negatif
59,baru bagus lambat jaring susah masuk,Negatif
60,tingkat biar tingkat parah lambat operasi sih sulit hubung media sosial media respons parah banget,Negatif
61,lambat pol aplikasi jemput logo buka,Negatif
62,baru ribet pesan tiket set lambat susah pesan tiket tulis habis nyata tiket sedia susah beli tiket aplikasi ha kembali sih kayak biar sulit guna terima kasih,Negatif
63,baru logo parah ya masuk aplikasi banget kadang pesan tiket kereta baru pesan via kai web buka tiket stasiun pakai sabun wajah lihat kode mesan masuk aplikasi susah tolong baik bagus versi,Negatif
64,susah banget masuk pesan muat parah,Negatif
65,lambat banget,Negatif
66,lambat ya suka aplikasi,Negatif
67,fitur lengkap operasi lemoot fitur beli tiket kereta kece tiket kereta bagus baru,Negatif
68,lot,Negatif
69,baru lambat ya buka aplikasi muat,Negatif
70,butuh beli tiket aneh lambat banget,Negatif
71,gara-gara baru lambat banget,Negatif
72,aplikasi muas muat sih pandang sedia kartu tolong ting raka susah pakai aplikasi,Negatif
73,aplikasi lambat bug,Negatif
74,lot bayar tiket muncul,Negatif
75,ya,Negatif
76,versi baru super lelet big noo,Negatif
77,baru lambat buka suruh masuk tuh konsep sih masuk lambat parah huh baik tolong,Negatif
78,nih servernya ya lambat,Negatif
79,lemoot cepat banget baru lempot coba kali tolong baik pt kai,Negatif
80,tingkat lambat,Negatif
81,baru jaring lancar baru lebit lambat ya kemarin pesan tiket makan menit indonesia tunggu kode kali coba mohon kembang kai baik jaring terima kasih,Negatif
82,woi admin kembali aplikasi lama lambat banget aplikasi baru baru guna friendly filter pilih harga kelas pilih kursi gulir layar aduh maju,Negatif
83,tampil bagus muat mending versi simpel cepat,Negatif
84,promonya ramai gilir aplikasi buka meleg taruh uang saldo kai guna mending go show loket,Negatif
85,versi lambat muat akses masuk aplikasi banget pindah menu dll  mohon tingkat,Negatif
86,verifikasi kaipay lo kode otp-nya muncul kaspro identitas kerja suka aplikasi lambat,Konflik
87,muat banget pas cari kursi pas masuk pilih aplikasi pilih kursi kadang lancar kadang ya versi lancar,Konflik
88,bicara sih pas aju prod baru ui aplikasi lambat lambat parah,Negatif
89,aplikasi susah erti cek jadwal kerlu detail lambat jelek,Negatif
90,muat aplikasi enak versi,Negatif
91,habis baru lambat banget,Negatif
92,baru lambat ya solusi,Negatif
93,baru versi baru bagus buruk lambat banget mudah sulit serasa turun versi,Negatif
94,idready daftar akun dasar ruwet kemarin ganti nomor pesan tiket deh,Negatif
95,baru lambat susah mesan tolong baik,Negatif
96,aplikasi baru langkah selamat tinggal banget ya allah buru bayar habis lambat,Negatif
97,promo elite laden sulit tawa ojek daring tuh laden,Negatif
98,pas buka susah masuk muat banget relatif efisien,Negatif
99,tingkat bikin buka,Negatif
100,aplikasi bingung tingkat cari kereta aplikasi lambat,Negatif
101,time out tinggal bayar doang,Negatif
102,lambat sampah,Negatif
103,naik semenjak baru masuk aplikasi lambat kepul desak cepat pesan tiket kali bagus aplikasi suruh tumpang beuli daring babi,Negatif
104,semenjak baru baru parah lambat baru bagus buruk tolong baik pesan tiket jam kelar kelar failed bagus kai acces mohon baik hambat orang pergi kereta,Negatif
105,aneh baru cepat lambat jaring lambat aplikasi gara-gara korupsi orang bum cari proyek komisaris,Negatif
106,baru bagus lammot,Negatif
107,harga tiket habis tampil koneksi lancar gagal,Negatif
108,lot freeze baru parah,Negatif
109,buka aplikasi langkah proses banget beda cepat halaman utama moga baik terima kasih,Konflik
110,baru mudah balik sulit lambat tolong masuk data hilang,Negatif
111,baru buka leg,Negatif
112,parah nih layan aplikasi banget muat kode otp masuk masuk aplikasi tingkat layan masyarakat kagak profesional operator nih aplikasi pakai blokir otp muncul,Negatif
113,baru lambat interface enak beli tiket susah mohon baik guna kai pekan,Negatif
114,lot masuk masuk masuk pas masuk lambat parah masuk susah,Negatif
115,lot normal,Negatif
116,sih aplikasi bumn ganggu suruh masuk akun aneh kalah aplikasi swasta bagus jarang ganggu,Negatif
117,menit sih pesan tiket tenang,Negatif
118,lambat versi parah ah,Negatif
119,lot banget bikin emosi,Negatif
120,aplikasi sulit guna lambat banget,Negatif
121,lot banget pesan tiket langkah jaring telepon seluler oke,Negatif
122,aplikasi guna suka lambat kai atas,Negatif
123,baru lambat buka aplikasi payah buka aplikasi muat,Negatif
124,baru lambat banget buka aplikasi masuk masuk mohon tingkat layan,Negatif
125,aneh banget aplikasi baru buruk pakai masuk putar bagus lot masuk langsung verifikasi masuk nomor verifikasi putar verifikasi mudah bikin emosi,Negatif
126,baharu lambat susah buka aplikasi sinyal bagus ecek tiket susah moga baik mudah tumpang aplikasi kai,Negatif
127,baru kebut,Negatif
128,lot,Negatif
129,baru lambat masuk susah,Negatif
130,lambat parah aplikasi,Negatif
131,lot banget macet jaring penuh jual kilat eror,Negatif
132,sih baru lambat masuk aplikasi lambat beli tiket pergi kereta hambat pergi kerja tolong baik,Negatif
133,payah pesan tiket banget eror melulu,Negatif
134,aplikasi bantu detail kendala muat cek jadwal putar line susah cari nama stasiun makan muat hasil cari,Negatif
135,lambat masuk masuk butuh butuh,Negatif
136,baru buka aplikasi banget,Negatif
137,telat kereta otomatis baru baru buruk lambat,Negatif
138,habis baru lot,Negatif
139,lambat jaring wifi bagus,Negatif
140,aplikasi lot banget,Negatif
141,kakak baru otomatis pas masuk tiket hilang jalan sabtu kak rugi uang mahasiswa uang kak,Negatif
142,sesuai harap aplikasi lambat,Negatif
143,kai acces lambat banget pas masuk gagal sinyal lancar,Negatif
144,baru kacau aplikasi susah akses respons banget buka aplikasi mohon baik mending pakai versi enak,Negatif
145,aplikasi lambat mudah sulit debat aman stasiun gara-gabisa pesan tiket tolong baik evaluasi besar biar tumpang rugi,Negatif
146,butuh akses kereta malas banget deh pakai aplikasi minggu muat eror orang tuh buru bikin emosi pas stasiun suruh loket loket suruh tugas sebal banget tinggal jadwal kereta buru orang beli loket ya benar tua aplikasi rugi orang,Negatif
147,lambat eror mohon baik,Negatif
148,lot,Negatif
149,tingkat lambat kali aplikasi susah,Negatif
150,baru susah aplikasi lambat cek tiket selesai langkah setep isi data tumpang selesai langkah moga baru bikin repot baru repot mohon kondisi admin,Negatif
151,aplikasi lambat banget ya bikin sandi susah banget repot sebal ganti sandi tuju sih aplikasi,Negatif
152,habis baru lot pesan tiket kereta susah tolong baik,Negatif
153,lambat ampun layan publik tolong baik terima kasih,Negatif
154,lot,Negatif
155,aplikasi lambat,Negatif
156,saran mending pakai aplikasi pesan tiket aplikasi ribet lambat baru masuk nomor telepon seluler muat putar jam bilang transportasi nyaman murah bikin macet iya lihat kendala desak susah diribetkan,Negatif
157,sahabat buru goshow lambat keburu habis tiket,Negatif
158,lot banget banget buka muat jaring bangus aplikasi tingkat buka masuk otp-nya surel sms kasih otp,Negatif
159,super lelet asli lelet dunia,Negatif
160,aplikasi ribet simpel versi aplikasi lambat,Negatif
161,lot,Negatif
162,aplikasi lambat parah,Negatif
163,lambat aneh kai access uprgred parah,Negatif
164,lot masuk mepet kereta,Negatif
165,tolong cepat aplikasi tingkat kayak lambat banget,Negatif
166,lot,Negatif
167,baru lambat buka kai tolong baik bagus,Negatif
168,eror aplikasi baru lancar susah buka aplikasi,Negatif
169,lambat,Negatif
170,kai access baru pas pesan tiket aplikasi mengebug mudah sulit,Negatif
171,aplikasi pasang lambat,Negatif
172,lot banget parah,Negatif
173,setruk logo habis upgrate mengebug lola banget sedih banget sekali pas bayar,Negatif
174,baru palah buruk aplikasi berat lambat masuk kali buka aplikasi,Negatif
175,baru lot banget,Negatif
176,lambat tolong pesan tiket,Negatif
177,lot buka aplikasi,Negatif
178,lot susah pesan tiket angus tiket muncul bayar,Negatif
179,berangkat lihat tiket masuk baru lambat,Negatif
180,lot banget tolong baik,Negatif
181,habis tingkat lambat bagus versi persen tiket buru habis lambat mah masuk lot bagus versi,Negatif
182,baru lambat payah buka aplikasi,Negatif
183,lot banget woi aplikasi mending suruh baru kayak kembali sistem,Negatif
184,pas promo super lambat suka eror aplikasi,Negatif
185,tolong aplikasi baik lambat banget buka tiket keburu bosan baru lancar lambat banget sumpah,Negatif
186,lambat,Negatif
187,aplikasi berat sinyal lambat pakai wifi pakai telepon seluler midrange,Negatif
188,tampil bagus masuk aplikasi emosi banget,Negatif
189,yah lambat buka pesan tiket,Negatif
190,tingkat buka lancar masuk eh buka aplikasi suruh masuk aneh masuk suruh masuk buka aplikasi posisi data nyala tulis acces kai data mati masuk home-nya aneh mengebug lambat,Negatif
191,luemot banget,Negatif
192,habis baru tampil masuk buka lambat cari tiket gang gampang kemarin,Negatif
193,aplikasi lot timeout,Negatif
194,muat suwi kak jing,Negatif
195,lambat bagus,Negatif
196,muat aplikasi eror gratis tolong baik versi baru saran mending kembali versi beda kembang mending evaluasi main fungsi banyak fitur main fungsi guna maksimal xxx xxx xxx get it maaf terima kasih,Negatif
197,aplikasi lambat eror pusiang deh,Negatif
198,baru lambat parah masuk,Negatif
199,baru lancar lambat mati tolong baik eror bos,Negatif
200,lot masuk,Negatif
201,aduh lelet aplikasi,Negatif
202,mesin aplikasi jelek lambat main bagus tingkat,Negatif
203,tingkat lelet proses bikin nyaman langgan balik aplikasi bikin emosi aplikasi kecewa tingkat,Negatif
204,sore aplikasi masuk muat putar elor bagus aplikasi cepat,Negatif
205,masuk aplikasi lot naudzubillah tolong baik baru bagus buruk bikin malas pakai aplikasi,Negatif
206,kacau ganti lambat benget,Negatif
207,aplikasi lot bgdd muat doang efisien baru bikin emosi ribet praktis,Negatif
208,tingkat lambat ya jaring aplikasi buka jadwal bayar banget bayang buru kejar cepat,Negatif
209,baru lambat masuk ada promo laden lemah bayar kecewa,Negatif
210,maaf baru baru lambat masuk home cari tiket bayar pesan batal,Negatif
211,habis baru lambat banget bayar enak aplikasi baru kai acces asyik,Negatif
212,aplikasi lambat pas pesan tiket alias salah pakai indek akal susah bayar aplikasi pakai taut ovo pakai spay bintang mending pakai aplikasi,Negatif
213,baru aplikasi lambat pesan tiket kereta bayar lunas tiket aplikasi coba cek riwayat mesan sesuai harap tiket muncul tolong aplikasi sempurna uang lanjur masuk,Negatif
214,lot parah bayar susah mudah aktif,Negatif
215,proses mesan tiket lokal banget muat notifikasi habis bayar ovo susah,Negatif
216,muat parah kali pesan bayar muat kali gagal bayar,Negatif
217,buruk data kacau baik muat melulu bayar pakai qris beli tiket daring luring parah,Negatif
218,may bayar muat,Negatif
219,baru lambat buka aplikasi banget tampil antarmuka bagus tolong baik,Negatif
220,tampil oke sistem lot banget admin kira jaring lambat ulang telepon seluler pesan seribet mending,Negatif
221,aplikasi parah lambat tampil,Negatif
222,jarang banget asih ulas super lambat banget kira eh tampil doang buka aplikasi lot pol kayak bur buka pas tipu batang ya,Negatif
223,baru masuk segi tampil oke performa buruk,Negatif
224,tampil bagus muat lambat bagus admin info lengkap aplikasi lot,Negatif
225,ya habis baru muat banget tampil tiket langsung tahu tiket tinggal klik tahu,Negatif
226,tampil nama bikin lambat,Negatif
227,tampil segar ya ampun muat,Negatif
228,baru aplikasi lot buka kai accessnya enak tampil baru,Negatif
229,fitur lengkap sulit mengoprasikan fitur ribet efisien enak aplikasi baru fitur filter nama kereta tampil buruk banget lambat banget fokus aplikasi khusus kai,Negatif
230,baru lot mending aplikasi tampil oke parah lot banget,Negatif
231,najis aplikasi lot parah otp kirim lambat banget aplikasi bagus fiturnya simpel lambat apa tampil simpel lancar tapilan bagus lambat susah guna,Negatif
232,muat buka aplikasi jadwal krl enak tampil lihat jadwal jam stasiun mohon benah tampil jam penuh stasiun lihat manual,Negatif
233,buka aplikasi tampil layar gelap buka aplikasi buka banget menit buka tolong respons admin,Negatif
234,tampil oke tarik baca ulas tingkat main tingkat imbas buru tinggal kereta lambat aplikasi rencana keter terima kasih,Negatif
235,baru ya buka aplikasi muat tampil bagus muat buka aplikasi tunggu lebaran gajah mending cepat buka akses,Negatif
236,tampil bagus baru lambat baru akses fitur lancar jaya fitur commuter line lancar banding via aplikasi acces,Negatif
237,otomatis baru versi repot muat verifikasi bolak-balik pesan tiket kendala pp kerja commuter versi langgan rugi jujur kecewa,Negatif
238,nge leg baru buka tiket pes internet lancar,Negatif
239,lambat aplikasi pesan tiket banget,Negatif
240,aneh lambat sulit sulit pesan tiket,Negatif
241,baru kacau lambat eror pesan tiket lokal hasil pesan kedaluwarsa pesan,Negatif
242,kembali pakai kak lokal walahar baru bikin banget pesan tiket buka barkode tiket butuh menit muat buang,Negatif
243,baru lambat aneh banget pesan susah,Negatif
244,usaha baru kai access otomatis baru kesal banget asli mudah aplikasi aplikasi baru lambat pesan tiket langkah maaf kai access,Negatif
245,kadang suka pas pesan kadang henti logo kai-nya,Negatif
246,banget masuk butuh banget otp muat jaring bagus banget bikin emosi buru pesan tiket lo sebal banget,Negatif
247,lot banget aplikasi bikin sandi harap kai baik hambat pesan tiket kai ubah aplikasi mending sulit,Negatif
248,sih lambat tinggal kereta woi,Negatif
249,lot ampun,Negatif
250,parah aplikasi lambat banget,Negatif
251,lot,Negatif
252,mohon baik laden biar lambat terima kasih,Negatif
253,bagus cepat,Positif
254,cepat informasi,Positif
255,cepat senyap simpel jo berangkat,Positif
