"ulasan","pfm+","pfm-","psn+","psn-","byr+","byr-","ftr+","ftr-","tpl+","tpl-","umu+","umu-"
"KAI update otomatis di hp saya seltah saya buka dan ccoba versi barunya emang lebih user freandly,,,, syaa juga langsung pesan tiket untk kebernagkatan ke surabaya dg commuterline wah dari pencarian, pemesanan dan bayarnya mudah bettt lancar. suwun kai","1","0","1","0","1","0","0","0","0","0","0","0"
"Good job KAI aplikasinya jadi lancar banget, pemesanan cepat bgt, di upgrade jd lebih baik dan lebih mudah diakses","0","0","1","0","0","0","0","0","0","0","1","0"
"Kalo dibandingin kai yg dulu sama sekarang beda bgt dari segi performa nya makin lancar dari pesen tiket, bayarnya, tmpilannya menarik juga ditambah fitur2 terbaru yg bermanfaat bangett menurut saya","1","0","0","0","0","0","1","0","1","0","0","0"
"tampilan interface tidak ramah setelah update ngga suka bgtt bikin mata sakit, tapi menarik,,, untung makin lancar pesen tiket nya mudah bayarnya juga bisa pake ovo, soalnya saya user ovo bangwt","0","0","1","0","0","0","0","0","0","0","0","0"
"Update sangat tidak nyaman Memang tampilan lebih baik Tapi buat apa tampilan baik kalo malah jadi lebih ribet Tolong tampilkan harga tiket per kelas bukan per nama kereta Sangat menyusahkan Dan tolong kembalikan filter kelas pada filter pencarian","0","0","0","0","0","0","0","1","0","0","0","0"
"Semenjak update aplikasi udah ngak lemot,,tapi tampilan membingungkan. Kereta yang penuh masih muncul untungnya pesen tiket sama bayar nya aman dan gampang bgt.","1","0","0","0","0","0","0","0","0","1","0","0"
"Buat skrang yg semua serba online kai access verisi terbaru memudhkan usernya buat pesen tiket bayarnya jg secara online, approve buat kai","0","0","0","0","0","0","0","0","0","0","1","0"
"Diupdate malah bisa beli tiket dg mudah... lancar terus... UI nya yg diperbaiki jg lebih keren... lebih baik dari versi yg lama.. versi yg baru bagus banget performanya..","1","0","0","0","0","0","0","0","1","0","1","0"
"Sejak diperbarui makin garibet.. Pesen tiket jadi sat set.. ga lemot.. lbih mudah beli tiket di aplikasi skrng.. Hhh.. lebih baik daripada seblumnya.. Thx","1","0","0","0","1","0","0","0","0","0","1","0"
"Udahh Lancar banget buat beli dan cari tiket malah tambah enak dipandaang ux terbaru nya","1","0","0","0","0","0","0","0","1","0","0","0"
"Tolong di perbaiki lagi aplikasi ini,sering logout sendiri,untuk mengakses jg sangat lama. Disappointed Terimakasih.","0","1","0","0","0","0","0","0","0","0","0","0"
"Minta update mulu semenjak tampilan baru,i makin susah diakses dan jauh lebih ribet fiturnya","0","0","0","0","0","0","0","0","0","0","0","0"
"Setelah update kenapa jadi susah buat cek tiket ??? Loading terus. Harus pakai waifi dulu baru bisa dibuka .. Tolong dong diperbaiki !!","0","1","0","1","0","0","0","0","0","0","0","0"
"Saat pesan loading nya lama banget, pas dibatalkan dan pesan lagi malah kursi tidak tersedia","0","0","0","1","0","0","0","0","0","0","0","0"
"Setelah update saya tidak bisa menggunakan promo alumni ITB dan QRIS tidak terdeteksi","0","1","0","0","0","0","0","0","0","0","0","0"
"saat login lamaaAAAA","0","1","0","0","0","0","0","0","0","0","0","0"
"Fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi ngga dapat tiket, padahal ini untuk perjalanan mendadak. Beda jauh dengan waktu aplikasi yang lama, sat set bisa cepat ngga loading terus.","1","0","0","0","1","0","1","0","0","0","0","0"
"Sangatt lemott","0","1","0","0","0","0","0","0","0","0","0","0"
"Sepertinya ada yang keliru dalam pengaturan batas waktu pembayaran, Ketika akan melakukan pembayaran menggunakan KAI pay maupun QRIS LinkAja batas waktu pembayaran yang tertera 00:-51:00 sehingga memunculkan notifikasi error 'kadaluwarsa, waktu pemesanan anda telah habis' langsung setelah kami klik 'bayar' Mohon segera diperbaiki","0","0","0","0","0","0","0","0","0","0","0","0"
"Setelah update kaya fitur tapi lemot nya minta ampun, jauh sekali dari yang diharapkan, tolong lekas dibenahi","0","0","0","0","0","0","0","0","0","0","0","0"
"Habis update malah ribet dan sangat sangat lemot, tolong di benahi lagi apa karena masih baru update belum dilalukan percobaan atau gmn, cth di pencarian stasiun kereta sangat lambat loading nya dan stasiun tidak di temukan padahal di versi sebelumnya bisa langsung ketemu dan cepat, pilih tempat duduk loading sampai 20 mnit blm slesai ahirnya beli di traveloka aja ,balikin ke versi sebelumnya aja,di tes dlu sampai benar2 jalan semua fiturnya sebelum apk nya di luncurin buat umum, smg d benerin","0","1","0","0","0","0","0","1","0","0","0","0"
"Lebih nyaman dan cepat digunakan versi sblm ganti tampilan dll.","1","0","0","0","0","0","0","0","0","0","0","0"
"Update besar2an aplikasi KAI semakin bagus, respon cepat dan UI keren. Cuma ada kekurangan yaitu metode pembayaran e wallet cuma ada opsi OVO, mungkin kedepan bisa ditambahkan wallet lain seperti gopay, shopeepay, dana atau virtual account.","1","0","0","0","0","0","1","0","0","0","0","0"
"banyak tools tp lemot..suka time out..","0","1","0","0","0","0","0","0","0","0","0","0"
"Dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta KAJJ versi baru pendingnya lumayan lama","1","0","0","0","0","0","1","0","0","0","0","0"
"Tolong dong jangan di ganti susah dan bingung jadi nya mau pesen","0","0","0","1","0","0","0","0","0","0","0","0"
"Setelah berubah aplikasinya untuk cek tiket saja membutuhkan proses loading lama","0","0","0","1","0","0","0","0","0","0","0","0"
"Jadi ribet pengoperasiannya","0","1","0","0","0","0","0","0","0","0","0","1"
"Setelah di update bukannya lebih baik malah zonk. tampilan dan pengoperasian lebih efisien versi lama sumpah, versi baru nyebelin. Aneh","0","1","0","0","0","0","0","0","0","0","0","1"
"Hallo, menurut saya penggunaan aplikasi kai acces terbaru ini kurang memuaskan karna system yang kurang responsif membuat saya melakukan double payment melalui kai-pay dengan tiket yang sama, padahal niat awal hanya ingin merefresh saja. Tolong dibenahi supaya tidak ada consumen yang mengalami hal kurang menyenangkan seperti saya, terima kasih.","0","0","0","0","0","1","0","0","0","0","0","0"
"Lemot banget buat beli dan cari tiket malah tambah gaenak ux nya hadehhh","0","0","0","1","0","0","0","0","0","0","0","0"
"Lemot bgtttt si abis upgrade tp kualitas malah downgrade, bolak balik pemesanan tinggal bayar aja lemotnya MaasyaaAllah. Mau apasi","0","0","0","1","0","1","0","0","0","0","0","0"
"Jadi lemot banget mau masuk menu home","0","0","0","0","0","0","0","0","0","0","0","1"
"Kalau ga punya sertifikat vaksin bisa naik kerat apa jarak jauh ga ya","0","0","0","0","0","0","0","0","0","0","0","0"
"Semakin susah gak bs di pesan gak bisa di klik.. masih bagus yg versi lamaðŸ˜­","0","0","0","1","0","0","0","0","0","0","0","0"
"Fitur reduksi harga dihilangkan, aplikasi juga sangat lemot! Ciri khas bumn bgt!","0","0","0","1","0","1","0","0","0","0","0","0"
"saya rasa upgrade version yg sekarang sangat menurun performanya, aplikasi menjadi lambat, terkesan berat, lalu banyak fitur yg kurang berguna sebenarnya,jauhh lebih baik versi sebelum updatenya baik dari performa maupun dari tampilan ui/ux yg lebih friendly versi sebelumnya, mohon ditinjau kembali upgrade app ini","1","0","0","0","0","0","0","0","0","0","1","0"
"Izin menyampaikan kendala saat saya melakukan pendaftaran member, tepat nya setelah mendapatkan kode saya menekan tombol lanjutkan tapi malah gak bisa, saya pikir masalah sinyal tapi tetap gak bisa alhasil saya susah buat beli tiket dikarenakan harua daftar member terlebih dahulu","0","0","0","1","0","1","0","0","0","0","0","0"
"Setelah di update ke fitur baru jadi lemot bgt:(((","0","1","0","0","0","0","0","1","0","0","0","0"
"Setelah update malah fitur connecting train nya lemot, ini aplikasi baru sekali atau update versi saja? Kalo update seharunya tidak mengganggu fitur yang sudah ada, tetapi ini malah merusak fitur lama","0","0","0","0","0","0","0","0","0","0","0","0"
"Kalau tiket abis ga usah di tampilin lagi listnya, jadi bingung nge tap satu persatu karena yang habis tetap ada di list","0","0","0","1","0","0","0","0","0","0","0","0"
"aplikasi menjadi sangat lemot sesudah di update, tapi di aplikasi lain smuanya lancar dan cepat, susah login, susah booking, selalu lemot muter terus saya tunggu hampir 1 jam bulak balik masih saja lemot, aneh! diharuskan pesen online tapi aplikasinya kayak begini!! bukan mempermudah tapi mempersusah!","0","1","0","0","0","0","0","0","0","0","0","0"
"Lemot banget ga bisa login Tolong perbaikannya","0","0","0","0","0","0","0","0","0","0","0","0"
"Aplikasi baru sering crash","0","0","0","0","0","0","0","0","0","0","0","0"
"Ganti baru malah ngak bisa tuk pesan KA antar kota.tpi kalau KA lokasi bisa...","0","0","0","1","0","0","0","0","0","0","0","0"
"Lemmootnya minta ampun, tolong segera di perbaiki sistemnya. Lebih baik uninstal klo lemot bgt kya gini","0","1","0","0","0","0","0","0","0","0","0","0"
"Cepat,senyap,simpel......joooooooozzz berangkat..","1","0","0","0","0","0","0","0","0","0","1","0"
"Update terbaru malah jadi parah. Tambah lemot dan tambah ribet","0","1","0","0","0","0","0","0","0","0","0","0"
"Kalau bisa tingatkan lemotnya. Update malah bikin lemot.","0","1","0","0","0","0","0","0","0","0","0","0"
"Tambah lemot, Fitur nambah tapi sistem gak support","0","0","0","0","0","0","0","1","0","0","0","0"
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","0","0","0","1","0","0","0","1","0","0","0","0"
"Aplikasi diperbarui tapi malah mempersulit,dulu bisa bayar pakai ewallet sekarang gagal terus, mending dikembalikan kesebelumya malah lancar","0","0","0","0","0","0","0","0","0","0","0","0"
"padahal sinyal bagus tapi susah masuk ke apk terus udah di perbarui malah susah masuknya ini kenapa ya malah gini","1","0","0","0","0","0","0","0","0","0","1","0"
"Hah ini apa malah jadi gabisa dibuka samsek daritadi buka cuma muncul logone tok ga berfungsi samsek","0","1","0","0","0","0","0","0","0","0","0","1"
"Dalam proses pemesanan tiket lebih ribet dan memakan waktu yang lebih lama daripada versi yang dulu","0","0","0","1","0","0","0","0","0","0","0","0"
"Tolong atuh perbaiki kualitas nya kan banyak yang pake aplikasi ini seharusnya lebih ditingkatkan lagi. Jangan tiba tiba keluar sendiri akun nya trs susah login lagi nya loading nya lama banget ampun","0","1","0","0","0","0","0","0","0","0","0","1"
"Ini update versi terbaru malah nggak bisa dibuka. Gimana yaaaaðŸ¥º","0","0","0","0","0","0","0","0","0","0","0","0"
"SATU KATA UNTUK APLIKASI TERBARU ( LEMOT )","0","0","0","0","0","0","0","0","0","0","0","0"
"Aplikasi yang baru tampilannya makin ribet, enak yang dulu tampilan simple dan lebih cepat dalam proses transaksi nya. Mungkin bisa diperbaiki lagi, dengan tidak terlalu meninggalkan tampilan lama yang lebih sederhana dan tidak ribet dalam proses pemesanan tiket","1","0","0","0","0","0","0","0","0","0","1","0"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","0","0","0","0","0","0","1","0","0","0","0","0"
"Update baru bukan tambah baik malah tambah lemot...mending pakai yg sebelumnya sudah bagus kenapa kok diganti lagi...malah jd semarwut...jadi aplikasi unfaedah malahan.. Saran saya kembalikan seperti aplikasi sebelumnya saja mudah nyaman dan bagus","0","0","0","0","0","0","0","0","0","0","0","1"
"makin update makin jelek","0","1","0","0","0","0","0","0","0","0","0","1"
"ko tampilan nya lebih enak yang dahulu ya, di update malah jadi ruwet","0","0","0","0","0","0","0","0","1","0","0","0"
"Gak ada fitur filter ganti nama keretanya ... Mohon di perbaiki lgi . Makasih","0","0","0","0","0","0","0","0","0","0","0","0"
"Pembayaran gak banyak","0","0","0","0","0","0","0","0","0","0","0","0"
"Setelah update jadi tak bisa di buka","0","0","0","0","0","0","0","0","0","0","0","0"
"System basi, lemot, engginer app basi transfer tiket keburu kiamat otp email dah bener muncul eror java terus","0","1","0","0","0","1","0","0","0","0","0","0"
"Makin kesini makin susah terhubung, sering gagal scan atau pembayaran lain.. Ngapain nyediain aplikasi kalo masih eror dan gak bisa stabil. Mending beli di loker. Makin payah ðŸ‘Ž","0","1","0","0","0","0","0","0","0","0","0","1"
"Gak bisa log in,koneksi timeout terus","0","1","0","0","0","0","0","0","0","0","0","1"
"mending app yg sebelumnya","0","1","0","0","0","0","0","0","0","0","0","1"
"Update versi terbaru tidak efisien dalam pencarian dan pembelian tiket, perlu diperbaiki untuk tiket yang sudah sold sebaiknya tidak muncul seperti versi sebelumnya. Sebagus bagusnya pelayanan adalah mendengarkan keluhan pengguna","1","0","0","0","0","0","0","0","0","0","1","0"
"Gblog ud ufdatr provider telkomsel gk masuk2 tolol aplikasi mening aplikasi yg dulu simpel ink stuk d tampilan gk masuk2 menu Pesen tiket d waktu smntara waktu habis untuk loading melakjkan pembayaran aplikasi samph makin buruk pelayanan","0","1","0","0","0","0","0","0","0","0","0","1"
"Jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket geðŸ‘Ž","0","0","0","1","0","0","0","0","0","0","0","0"
"Di samsung J3 pro tidak bisa d slide untuk lihat jadwal dan pesan tempat duduk kereta yang akan di pesan. Tolong di bantu untuk bisa di akses dengan HP layar d bawah 6""","0","0","0","0","0","0","0","0","0","0","0","0"
"Sangat membantu sekali","1","0","0","0","0","0","0","0","0","0","1","0"
"Buruk sangat buruk .. Reload sangat lama . Bahkan 15 menit pun .. Tiba2 no respon donk. 2x ketinggalan kereta gara2 reloadnya lama ... Bener bener mau ngatain kenapa sih d ubah ubah .. Kl prosesnya lama. Tolong perbaikin reloadnya","0","1","0","1","0","0","0","0","0","0","0","0"
"Baik saat pemesanan, login itu jadi lemot banget setelah di update, udah sekitar 1 jam tapi masih gagal untuk memesan karna loading padahal sinyal jelas bagus. fitur dulu lebih mudah untuk diakses walaupun yang saat ini tampilannya lebih fresh.","1","0","1","0","0","0","0","0","0","0","0","0"
"yg baru ini gak bisa milih tempat duduk kah?lemot bgt juga. lebih suka yg lama","0","0","0","0","0","0","0","0","0","0","0","0"
"Proses ganti jadwal kesulitan saat memilih reduksi","0","1","0","0","0","0","0","0","0","0","0","0"
"Gara gara ada promo kemerdekaan cara mendapatkan tiket jadi susah,saat di search keterangannya semua tiket habis tapi kenapa pakai aplikasi selain KAI seperti olshop masih banyak stok nya Tolong untuk kejelasan slot kursinya diakuratkan lagi","0","1","0","1","0","0","0","0","0","0","0","0"
"Ternyata harus restart hp setelah update aplikasi biar ga lemot","1","0","0","0","0","0","0","0","0","0","1","0"
"Update malah jadi banyak sampahh, harusnya kereta api yang sudah soldout gak usah MUNCUL LAGI,, HARGANYA JUGA GAK PASTI PASTI, KENAPA GA HARGA PAS AJA YANG MUNCUL,, BENER-BENER BIKIN KESEL","0","1","0","1","0","0","0","0","0","0","0","0"
"diperbarui bukannya update malah makin down, nyesel bgt w perbarui buka apk ditunggu berjam jam ga jalan bahkan seharian pun tetep ga jalan ðŸ˜­","0","1","0","1","0","0","0","0","0","0","0","0"
"Makin ga efisien, lebih baik apk sebelum nya","0","0","0","0","0","0","0","0","0","0","0","0"
"Baru kali ini kecewa, update yang terbaru bukannya semakin bagus, malah semakin lambat. Mau login harus nunggu lama, mau pesan tiket jadi susah. Mohon untuk segera ada solusinya ðŸ™","0","1","0","0","0","0","0","1","0","0","0","0"
"ngelag","0","0","0","0","0","0","0","0","0","0","0","0"
"Ini setelah d update kenapa aplikasi nya jadi lemot banget min,bahkan logout sendiri,pas mau masuk jdi gk bisa masuk keterangan nya ""failed request"" padahal udah biasa dulu pake KAI acces, tolong donk klo memang harus pake aplikasi,aplikasinya yaa di bikin simpel dan mudah akses nya jangan jadi malah susah gini.","0","1","0","0","0","0","0","1","0","0","0","0"
"Berat bnget aplikasinya. ðŸ˜… sering keluar sendiri , jadwal krl gak lengkap setelah update. Buka aplikasi sampai 1 menit . Device lama samsung galaxy a50. Ini game berat?","0","0","0","0","0","0","0","0","0","0","0","0"
"Diskon apaan??","0","1","0","0","0","0","0","0","0","0","0","0"
"Lemot saat masuk menu. Saat lemot kadang akun sudah log out, lalu saat masuk lagi sudah log in.","0","1","0","0","0","0","0","0","0","0","0","0"
"Aplikasi kai akses barusan tadi update pas udah beres update pas login/memasuki email loading terus waktu yang lama beda dengan versi sebelumnya tidak ada bug atau lemot padahal jaringan kami tidak mungkin gk bagus ... Secepatnya di perbaiki karena besok ada keberangkatan lokal ke bdg timur","0","1","0","1","0","0","0","0","0","0","0","0"
"Dih gemes banget sama aplikasi KAI yang sekarang kenapa sih pake di rubah segala enak yang dulu sekarang lemot pollll fitur2nya juga gak jelas , jelas an yang dulu please deh kembalikan aplikasi kai yang dulu aja ðŸ§ðŸ§ðŸ§ðŸ§","0","1","0","0","0","0","0","1","0","0","0","0"
"mines sekali aplikasi sekarang mau upgrade aja susa,,, sebelum update bisa pesen tiket udah update ga bisa pesen harus join member basic,, giliran mau join ga bisa","0","1","0","1","0","0","0","0","0","0","0","0"
"Baru buka apk aja kok udh lemot ya? Padhal udh di upgrade","0","1","0","0","0","0","0","0","0","0","0","0"
"Setelah update aplikasi jadi lemot sekali, sering tiba-tiba log out sendiri, susah saat mau membeli tiket dan menyulitkan saat boarding","0","1","0","1","0","0","0","0","0","0","0","0"
"Sortiran msh bagus di aplikasi sblmnya. Bs sort kelas kursi","0","0","0","0","0","0","0","0","0","0","0","0"
"Baru update.Log in ny butuh verifikasi sms hp tpi lama bgt kirim otp sms nya. Mlh d lock akun ny. Hadeh. Gmn sii???","0","0","0","0","0","0","0","0","0","0","0","0"
"Jelek...benar2 jelek..saya sampai ga bisa kerja tetap waktu karena sulitnya pesan tiket dari aplikasi ini...mending balikin ke yang sebelumnya..ga ribet..yang ini loadingnya bikin darah tinggi...","0","1","0","1","0","0","0","0","0","0","0","0"
"Aduh repot banget sih, tiket saya hilang karena gak bisa masuk ke akun lama","0","1","0","1","0","0","0","0","0","0","0","0"
"Bikin aturan seenaknya ya. Bikin update tapi masih banyak bug, jadi saya gabisa pulang pakai kereta! Harusnya kalo aplikasi ada update gini ada aturan sementara untuk bisa beli tiket di konter untuk berapa minggu sampai aplikasi stabil. Coba liat sekarang. Karena cuma ada satu perusahaan yang punya kereta jadi seenaknya aja bikin aturan. Tau ga sih efeknya? ADA YANG GA BISA PERGI/PULANG PAKE KERETA KARENA MASALAH APLIKASI. Ngerti ga itu tuh vital? Mending cari alternatif transportasi lain skrng","0","1","0","1","0","0","0","0","0","0","0","0"
"Aplikasi nya sangat lemot... Saya batal terus saat mau bayar karna loading nya lama sampai waktu limit pembayaran nya habis","0","1","0","0","0","1","0","0","0","0","0","0"
"Pada saat masuk kok lama sekali, gak seperti apk KAI acces","0","0","0","0","0","0","0","0","0","0","0","0"
"Akunya suka tiba-tiba keluar sendiri","0","0","0","0","0","0","0","0","0","0","0","0"
"diupdate malah gabisa masuk apk","0","0","0","0","0","0","0","0","0","0","0","0"
"Request dong kai acces bikin reschedule perjalanan gitu, biar gak mubazir tiket saya kalo gak jadi bepergian. Thanks","0","0","0","0","0","0","0","0","0","0","0","0"
"Apa sii kenapa makin ancur ni apk ga bisa di akses lama loading nya","0","1","0","0","0","0","0","0","0","0","0","0"
"Apakah ini upgrade an KAI ACCESS sebelum ini?","0","0","0","0","0","0","0","0","0","0","0","0"
"KAI access yang udah di update banyak errornya","0","1","0","0","0","0","0","0","0","0","0","0"
"Log in sulit, lelet banget, udh susah login sekali masuk logout lagi hadeuuh","0","1","0","0","0","0","0","0","0","0","0","1"
"Tampilan Pencarian kereta, tiket yang sudah habis kenapa tetap muncul malah jadi PHP buat calon penumpang.","0","1","0","1","0","0","0","0","0","0","0","0"
"Aplikasi gag berguna setelah diupdate,,,parahhhhh","0","1","0","0","0","0","0","0","0","0","0","1"
"Lebih enak versi lama","0","0","0","0","0","0","0","0","0","0","0","0"
"APLIKASI LEMOT PARAH!!!!! BANYAK MENU MENU GAK PENTING, FOKUS JUAL TIKET AJA JANGAN ALIH FUNGSI LAINYA!!!!!","0","1","0","0","0","0","0","0","0","0","0","0"
"Semenjak update aplikasi lemot tampilan membingungkan. Kereta yang penuh masih muncul","0","1","0","0","0","0","0","0","0","0","0","0"
"Jadi lemot bgtt, enakan pake apk sblm diupdate","0","1","0","0","0","0","0","0","0","0","0","0"
"setelah di update ke versi lama saya jadi harus pesen tiket kalau di tempat yg ada wifi nya soalnya pake provider gak pernah bisa ngbug mulu.. malah kadang minta temen pesenin tiket karna dia masih versi lama belum di update.. jadi sering pake tiket yg di screenshoot gara2 perkara aplikasi ngbug.. padahal saya tiap hari naik kereta buat kerja mesti beli online udah gak bisa offline.. tolong perbaiki lagi sudah banyak yg komplain harusnya cepat dibenahi.. terimakasih..","1","0","1","0","0","0","0","0","0","0","0","0"
"Lemot..!! Mau mesen tiket lokal aja lama loading nya! mesen harus online tapi apk nya lemot parah. udah sulit jadi makin dipersulit","0","1","0","1","0","0","0","0","0","0","0","0"
"Ok","0","0","0","0","0","0","0","0","0","0","0","0"
"semejak update pesen tiket kreta loadingnya lama banget. parahhhh.. jadi ketinggalan kreta gara gara mau pesen tiket tapi loadingnya gila lama banget. kecewaaaa.","0","0","0","1","0","0","0","0","0","0","0","0"
"Gak bisa masuk, plat merah loh jangan dibuat mainan","0","1","0","0","0","0","0","0","0","0","0","0"
"Angel, Sulit, Susah, Rumit... sudah klik Lanjutkan... gak jalan-jalan sampai waktunya habis","0","1","0","0","0","0","0","0","0","0","0","0"
"Bagus, setelah update aplikasi nya jadi lebih stabil dan tampilan nya yang efisien","1","0","0","0","0","0","0","0","0","0","0","0"
"Masih susah dibuka enakan yang lama","0","0","0","0","0","0","0","0","0","0","0","0"
"Brengsek, man sekarang jadi susah login dan pesan tiket ribet saya mau pulang woy!! mana ini admin..","0","0","0","1","0","0","0","0","0","0","0","0"
"Mau login ga bisa,, lemot cuma muter aja ðŸ¤¦ðŸ¤¦","0","1","0","0","0","0","0","0","0","0","0","0"
"kalo segalanya mau online harusnya aplikasinya disiapin dulu sampe mateng jauh dari bug, lemot, ini aplikasinya aja belum optimal banyak bug, susah masuk, lemot ko udah maen harus beli online aja kasian orang yang mau naik kereta dibikin ribet engga jelas, bumn kerjanya ko gini","0","1","0","0","0","0","0","0","0","0","0","1"
"Tetap Update..Mudah Digunakan. Berikan Kami Pelayanan yang terbaik.","1","0","0","0","0","0","0","0","0","0","0","0"
"Pliss KAI segera perbaiki apknya secepatmyaaaaa! , setelah updet bnr bnr apk tidak membantu! Apalagi beli tiket lokal hrus pake apk gk bisa ots. Pas mau beli malah lemooootttt banget, sangat percuma penampilan bagus tapi gak fungsional. Tolong banget segera perbaiki, tadi pagi saya telat naik kereta dan gk jadi naik gra gra lemot apknya!! Lemotnya di semua mau pas log innya. Milih tiketnya, pembayaran dll. Dikasih waktu 5 mnit buat bayar tapi waktunya abis sama loading, udh ganti provider ttp.","0","1","0","1","0","0","0","0","0","0","0","0"
"1. Ribet. Jadwal yg habis tidak lgsg off, tp harus dibuka dulu baru muncul jam keberangkatan buat dilihat masih ada atau nggak. Gak efisien nyari jam yg masih ada bangkunya. 2. Lemot. LEMOOOOOT BANGET, selesai iai data diri mau pilih kursi loadingnya lama banget.","0","1","0","1","0","0","0","0","0","0","0","0"
"Tampilan baru malah makin lemot parah aplikasi nya...","0","1","0","0","0","0","0","0","0","1","0","0"
"update masih banyak bug !! lebih smooth apps yg versi lama","0","0","0","0","0","0","0","0","0","0","0","0"
"Udah chat ga bisa login ke cs ga ada kelanjutan","0","0","0","0","0","0","0","0","0","0","0","0"
"Yg versi baru lemot... pol... masih mending yg versi sebelumnya...","0","0","0","0","0","0","0","0","0","0","0","0"
"Sudah transaksi Qris sukses tiket buat besok PP tapi ngk ada di aplikasi bordingnya. Membingungkan aplikasinya","0","1","0","1","0","0","0","0","0","0","0","0"
"Kok tambah lemot, mau top up malah eror.","0","1","0","0","0","0","0","0","0","0","0","0"
"Makin di upgrade. Malah lemot Ga bisa pilih kursi terus setiap buka aplikasi suruh login terus","0","1","0","1","0","0","0","0","0","0","0","0"
"Aplikasinya jadi ngaco begini, mau cari nama kota & stasiunnya jd susah","0","1","0","1","0","0","0","0","0","0","0","0"
"Tujuannya apa, nampilin promo, tp tidak, tersedia, lebih bagus dan mudah versi sebelum nya.","0","1","0","0","0","0","0","0","0","0","0","1"
"Saya kasih bintang 1 dlu krn Upgrade aplikasi terbaru sangat lemot susah dioperasikan tdk spt aplikasi sebelumnya pdhl saya pengguna aktif tiap mgg pst pakai aplikasi KAI jd hapal bgt perbedaanya dg aplikasi sblmnya, saat memilih kereta loading super lama dan menampilkan kereta yg tiketnya sdh hbs diletakkan berurutan dg yg msh shg jd pengecoh, kalau mau lounching aplikasi terbaru mgkn bisa diuji coba terlebih dahulu biar lbh mermanfaat drpd keribetannya","0","1","0","0","0","0","0","0","0","0","0","0"
"Sekelas aplikasi pemerintah jeleknya minta ampun, server jelek","0","1","0","0","0","0","0","0","0","0","0","1"
