userName;score;label;at;content
Andi Umar Glp;1;Negatif;31/10/2023 08.30;susah, • dapet penumpang susah • order yang ditawarkan/ditampilkan yg ga aktif, yg udah diambil driver lain, yang udah dibatalkan tapi masih muncul terus • rute pake rute mobil, nyasarin rute ke jalan tall • penumpang kesulitan cari driver terdekat sedangkan driver kesulitan cari penumpang terdekat karna penumpang dapetnya driver yang lebih jauh bukan lokasi driver terdekat • pengembalian dana pake ada dolar, ga jelas, ga solutif. segera lakukan perbaikan untuk perusahaan yang lebih maju
Riana Cadel;5;Positif;31/10/2023 08.26;ok sangat membantu
Toni Isty;2;Negatif;31/10/2023 08.22;Tolong tegaskan setegas tegasnya jngn lamban
Zulmas;1;Negatif;31/10/2023 08.16;aplikasi yang membagongkan.....
Muhamad hadi Suwandono;2;Negatif;31/10/2023 08.13;sistem ganti jangan pakai penawaran harga dari customer gak masuk akal kasian driver mendingan harga atur dari sistem seperti grab, gojek, Maxim . Sistem sekarang pakai mempersulit driver dan membahakan Drive kalau ada masuk orderan dan menerima penawaran dari customer
Dede Omarwati;5;Positif;31/10/2023 08.08;maksih indrive,.. sudah mempermudah kami menjangkau tujuan dengan aman, dan tepat waktu...
Reynaldo Simanjuntak;5;Positif;31/10/2023 08.00;Mantap
Mohamad Ali;1;Negatif;31/10/2023 07.54;Masih banyak bug dan sering terjadi eror saya sudah hubungi servis dan tidak bisa menyelesaikan masalah dengan cepat tolong perbaiki lagi aplikasi nya agar tidak banyak bug dan eror kami sebagai driver sering tidak dapat orderan sama sekali
Nita Anjani;5;Positif;31/10/2023 07.53;sangat baik
Rany Anggraeni;5;Positif;31/10/2023 07.52;ok
Avicena Algar;1;Negatif;31/10/2023 07.41;Banyak bug nya versi terbaru,orderan msk pas di cocol tertulis keslahan,mintak pendaptat ke dukungan malah jawaban nya lepas emulator dan autokilk,dah tau pake apk dari play store lgsung,gak jls emang
Tarisa Handayani;5;Positif;31/10/2023 07.32;Bagus
Kahfi Rizqy;5;Positif;31/10/2023 06.57;Ok
Ahmad Yusuf;1;Negatif;31/10/2023 06.50;Masih belum bisa bersaing dengan aplikasi lain. Orderan belum bisa auto bid dan orderan dengan titik penjemputan yang jauh. Sangat merugikan driver!
Tonyy Septiiansyah Officiall;1;Negatif;31/10/2023 06.43;Di Indriver Kebanyakan Driver Blagu Jauh Dikit Ngeluh
Dhyka Marthin;5;Positif;31/10/2023 06.39;Tolong tertibkan saja driver2 pengguna mod dan fake gps..
Felya Sumbala;5;Positif;31/10/2023 06.34;Suka.
Da Daus;1;Negatif;31/10/2023 06.29;"Makin di upgrade kok apkny makin ngak karuan?? Ngak mungkin drivernya stak nnton apk doang, giliran di luar apk ad yg masuk di cocol langsung hilang,kalau ngak ya eror, kek nyampah aja online dari pagi ngak ad yg dapat? Udah terdekat pun di cocol malah eror, di suruh mutar"" sama oner apkny, kalian pikir minyak di SPBU diminta saja, ngak mikir lu minyak sekarang sulit juga, jangan seenaknya apk aj dong aturan ny, mendingan jangan ad potongan saldony lagi hapuskan aja sistem saldo, toh kuota udh?"
Jajang Rahmat;5;Positif;31/10/2023 06.28;Hallo indrive yang terhormat Akun saya sudah satu minggu tidak bisa di online kan Waktu di klik online muncul periksa dokumen setelah saya periksa di anjurkan poto info kendaraan dan poto SKCK ,semua yg di arahkan saya lakukan poto kendaraan .poto STNK poto SKCK tapi tidak masuk² berulang ulang poto dokumen kembali lagi ke minta poto dan saya sudah berkali kali minta bantuan ke admin idrive tapi permasalahan akun saya masih terjadi minta periksa dokumen dan akun saya masih belum aktif .
Sopandi;5;Positif;31/10/2023 06.21;Setelah update mulai dapet lagi orderan dan mulai rating saya mulai naik lagi. Semoga semakin membaik lagi indriver
Sarah Lumban Gaol;4;Positif;31/10/2023 06.07;Aplikasi ya bagus tarif ongkos Rama di kantong
Eka M Iskandar;5;Positif;31/10/2023 06.04;Jauh ngak masuk dekat juga ngak masuk depan mata ngak masuk juga cs sampai nunggu lama akhirnya cansel pindah ke aplikasi lain .....pantesan tambah anyep orderan...perbaiki it nya kasian driver sama cs
Babybang Danny19;1;Negatif;31/10/2023 06.02;"Tidak puas, driver pemula dituntut buat naikin rating, supaya tinggi.. gimana mau naikin rating orderan juga susah dapat.. teruss yg dikasih yg rating tinggi.. mending jgn tambah driver .. percuma kasihan malah buang"" modal"
Ayriauna Nuriah;1;Negatif;31/10/2023 05.53;Tolong tarif perjalanan di palembang sangat murah,beda sama kota lain sesama indrive,kalo potongan ke indrive nya sama ,emang di palembang harga BBM murah ya dibanding kota lain,tolong di perbaikin maslah tarif,sesama indrive aja lebih murah kota palembang,apalagi dibanding sama kompetitor ...hancuuur
Vadli Wijaya;1;Negatif;31/10/2023 05.51;Setiap order masuk, selalu ada notif kesalahan dan sampai tidak bisa masuk lelang, aplikasi aneh
Agus Miftah;5;Positif;31/10/2023 05.09;Good
alif Agis;4;Positif;31/10/2023 05.05;saya baru pemula, dan maaf. apakah semua ongkos nya gak sama dengan di aplikasi? di apk sekian, tpi pas naik minta tambah ongkos lgi. emang begitu ya ka?
Ratu Ayra HD;1;Negatif;31/10/2023 04.39;Perbaiki dulu layanan customer service....tidak memberikan solusi dan tidak menyelesaikan masalah. HARUSNYA TIDAK ADA DANA YG TERPOTONG ATAS PEMBATALAN ORDER, KALO PEMOTONGAN DANA INI MASIH TERJADI....DRIVER TIDAK MAU MENGAMBIL ORDERAN KRN BANYAK NYA ORDERAN FIKTIF. BAIK NYA DI KEMBALIKAN KE SISTEM DULU TANPA ADA PEMOTINGAN SALDO. HARUSNYA SEMAKIN KEDEPAN SISTEM SEMAKIN BAGUS, PERCUMA UPDATE2 TERUS KALO SISTEMNYA MAKIN MUNDUR.
Mohammad Rafi Akbar;1;Negatif;31/10/2023 04.04;Aplikasi paling ganjen asli gonta ganti tampilan mulu . Yang membuat eror aplikasi .jangan main main ini masalah pekerjaan . Jika mau maintance mending pada malam hari jangan di jam sibuk membuat akan kerugian
abell mint;1;Negatif;31/10/2023 03.41;Pembaruan tuh biar makin bagus bukan malah makin bobrok .
Nia Kurniati;5;Positif;31/10/2023 03.34;Veryy godd
Weti Hendrayani;5;Positif;31/10/2023 03.25;ramah tiba dengan cepat bagus
Aris Mysterio;5;Positif;31/10/2023 03.20;sangat membantu...
Rizki Eka;1;Negatif;31/10/2023 03.15;Banyak yang pake tuyul ini aplikasi. Setiap saya pencet udah langsung di ambil sama orang. Coba lah yang pake aplikasi tuyul kaya gitu. Di banned langsung aplikasinya. Bener saya kecewa!
Ahmad Susanto;5;Positif;31/10/2023 02.58;saya suka indriver👍👍👍👍
Muhammadaryawiratanu Aryawiratanu;1;Negatif;31/10/2023 02.51;Kebanyakan berbuat curang semua memakai mod dengan jarak palsu dan orderan otomatis Sistem se olah tidak peduli Kami driver original tidak bisa bersaing dengan mereka yg berbuat curang Sampai kapan ini di biarkan yg melakukan ke curangan?
Giarto Sayogo;5;Positif;31/10/2023 02.45;Setelah TDK ada MOD INDRIVER sekarang joss
Heri Suryanto;1;Negatif;31/10/2023 02.31;Tiap di cocol orderannya kok hilang, apa server nya ikut bermain dalam memberikan order ke driver...???
Cepi - cika;4;Positif;31/10/2023 02.22;update terbaru ...kok kenapa y sering logout sendiri aplikasi...
LLT Ciwalk;5;Positif;31/10/2023 02.11;baik
syalom yosua;1;Negatif;31/10/2023 02.08;Sebagai Driver, sekarang lebih susah dapat penumpang karena banyak Driver yang menggunakan Aplikasi MOD
Encep Muchdad Nurdiansyah;1;Negatif;31/10/2023 01.29;Sama ajj kaya tetangga sebelah aplikasi bisnis atribut driver baru prioritas iya penghasilan nya bagus ,,driver lama banyak delay nya orderan banyak di tolak dan penawaran sering kali kadaluarsa,,kacau..
citra jeny;1;Negatif;31/10/2023 01.16;Sistem pengaman terhadap driver rendah..banyak orderan palsu yang ongkosnya 500 rb dan itu sangat memberatkan utk driver yang sehari2 pendapatan nya tidak seberapa. Tolong ditindak lah apa gunanya form aduan kalok g berlaku itu aduan ya dihilangkan..apalagi nilai aplikasi custumernya poin 1.0 pun masih bisa memesan 😁tiru aplikasi sebelah yang apabila pelanggan membatalkan 2 x aja maka di baned itu aplikasi customer nya...tolong hargai driver bro...
Tsabit Al Fauzi;1;Negatif;31/10/2023 00.39;Aplikasi bobrok. Jarak tempuh ga sesuai di aplikasi 2km. Aslinya 4km. Ga bisa ksh B1 k pnp. Ga fear dong.
coca cola;5;Positif;31/10/2023 00.34;Bagus
Desy Gewang;2;Negatif;31/10/2023 00.30;Ini buat driver apk ini, peta nya yg salah, calon penumpang yg disalahin, mana lg Uber waktu, driver nya jg tengil2:,tolak2 in orderan, asal tau apk ojol banyak, driver ojol ribuan di jakarta, sy merasa di kerja in sdh nunggu lama tiba2, di batal kan sedangkan saya harus ontime.kebnyakan driver disini dr ikut GR* sm tengil2 jg, mknya sepi orderan di 2 apk ini
Andi valdian valdian;5;Positif;31/10/2023 00.27;Sangat bagus
bagus apriyanto;5;Positif;31/10/2023 00.19;goodjob
YTGAMING FROS;5;Positif;30/10/2023 23.57;ongkos lebih murah, di banding sebelah
Dada Wiwaha;2;Negatif;30/10/2023 22.58;MOD merajalela, apk orsinil cuma nonton 😔
Asep Angga;5;Positif;30/10/2023 22.16;ok,
iin ambis kpm;2;Negatif;30/10/2023 20.33;Kenapa di hp saya cuman indrive dan mobil perjalanan jauh aja
ghazi ramadan;4;Positif;30/10/2023 20.32;Tolong dong maps nya ko telat posisinya Kita dah maju ehh di maps masih di belakang. Sama penjemputan penumpangnya perjelas di maps.ga ada tanda panah posisi motor kita!?
Khosien gouw;5;Positif;30/10/2023 18.04;System indriver semakin hancur,driver kerja tiap hari dapat ulasan bagus malah peringkat dan ulasan di turunin tanpa sebab apa apa,luarbiasa system nya ..
Fardan Gymnastic;2;Negatif;30/10/2023 17.51;"Buat pendaftar akunn penumpang seharus nya kalau memdaftar akun nya juga pakai ktp/ kartu identitas lain nya, supaya mengurangi akun"" fake yg selalu buat orderan fiktif, selain itu juga bisa meminimalisir resiko yg tidak ingin terjadi"
Andre Sakti Wicaksono;1;Negatif;30/10/2023 17.50;Mohon di cek di email kami pak
Boy Rinta;1;Negatif;30/10/2023 17.30;Semenjak versi terbaru notif orderan sudah jarang muncul padahal cs sangat dekat dengan kita bahkan yang masuk orderan yang jauh aneh sekali inddeiver sekarang ini.
Amelia Damopolii;5;Positif;30/10/2023 17.02;pengemudi ramah
AGUS YULIANTO;5;Positif;30/10/2023 16.49;Sangat Membantu Dalam Perekonomian
Fikfik Ana kahfi;1;Negatif;30/10/2023 16.49;Koq malah makin kacau seharus nya pertahanin dong jangan sampe kaya sebelah konyol
Ilham Apandi;1;Negatif;30/10/2023 16.44;Percuma beli atribut kalau ujung ujungnya tidak prioritas
Diva Nurul Avisa;5;Positif;30/10/2023 16.03;tambahin metode pembayaran dongg, kaya gojek dan grab, biar lebih enak lagii hehe, jangan cuma cash ajaa, soalnya kalo ga megang uang cash susahh:((
Amat Somal h;5;Positif;30/10/2023 16.01;Puas
Hendra kustiawan;5;Positif;30/10/2023 15.52;Nice good
Karina'1;5;Positif;30/10/2023 15.03;Get Paid 2 Play! When finished, review this app to confirm your earnings. What did you think of this app?
Riza Rahman;1;Negatif;30/10/2023 14.05;Di tolak terusss orderan nya,,kalah sama bot percuma prioritas GK ngaruh...taeeekk
Filcha Abdullah;5;Positif;30/10/2023 13.58;Senang sangad membantu
Yadi Suryadi;5;Positif;30/10/2023 13.51;Aplikasi nya udah bagus tapi tolong yang pakai mod di non aktifkan Kasihan yang pakai apl ori
Irwan Syah;5;Positif;30/10/2023 13.30;mantap,puas bgt😍😍
Wibawa Sukses;2;Negatif;30/10/2023 13.15;Mohon untuk segera diperbaiki sistemnya, karena setelah update malah susah dapat order, jarang ada lelangan
Apri Kurniawan;2;Negatif;30/10/2023 13.00;Mau ganti nomer hp yg terdaftar,gimana cara y,soal y nomer yg terdaftar sudah hangus
Catur Arifianto;5;Positif;30/10/2023 12.46;aman
aly Afrizal;5;Positif;30/10/2023 12.27;Bagus. Area jakarta kok belum autobid
Garasi Jelin;1;Negatif;30/10/2023 12.23;Tampilan 2km, pas di Klik jadi 5km..
Ria Gusti;5;Positif;30/10/2023 12.21;nyaman
Irfan Fauzi;2;Negatif;30/10/2023 12.16;Kenapa perjalan gk bertambah meskipun sering dapet ? Terus kenapa mod semakin merajalela ? Kasihan yg akun2 baru kalo mod masih sebanyak itu
annisaanandaputrii ananda04;5;Positif;30/10/2023 12.15;Suka sekali
Popo Silaban98;5;Positif;30/10/2023 11.48;Verygood
Andik Anjas;5;Positif;30/10/2023 11.41;saya sebagai driver hanya kasih saran.. pakai saja sistem dari GOJEK/GRAB untuk penugasan otomatis dari titik driver 2km dari penumpang..dijamin lenyap AUTOBID DAN BOT/MOD ! jika penumpang jauh dari driver lelang manual baru masuk akal.
Canda Cc andra;2;Negatif;30/10/2023 11.14;Narik dari pagi balik ke pagi cuma dapet 1 orderan sudah ga kaya dulu rame nya penumpang saya harap bisa di lebih prioritas kan untuk drever agar dilakukan sistem auto bet
Elime ismail;1;Negatif;30/10/2023 11.13;Punya aplikasi jangan keluarin auto clik lah ngak sesuai konsep kan jadi tembus apl apk mod dari tgn tgn yg nyari keuntungan pribadi
Mus Tain;1;Negatif;30/10/2023 11.08;Sangat buruk susah dapet order.
Azis Wahyu;1;Negatif;30/10/2023 10.22;saya suka mendapatkan driver yang minta lebih
Hendrik raco;1;Negatif;30/10/2023 10.12;Saya merasa tidak nyaman karena di Jawa Timur tidak ada kantor pusat untuk melapor kejadian yang tidak menyenangkan oleh penumpang, serta oknum driver yang merasa sesuka hati mereka ketika bekerja karena bayarannya/ongkosnya sedikit/murah di bandingkan aplikasi sebelah, sehingga mereka merasa kalo mau kualitas yang baik silahkan ke aplikasi sebelah yang lebih mahal bayarannya.
Friendlly Rumegang;5;Positif;30/10/2023 09.43;good
ARIEF BUDIMAN;2;Negatif;30/10/2023 08.51;Aplikasi masih belum optimal, aplikasi masih rendah keamanan sistem nya. Betul durasi waktu yang ada pada Apl ORI ialah durasi waktu yang diambil dari jarak kendaraan mobil, sehingga tenggang waktunya lama dimana posisi yang sebenarnya hanya 1 atau 2 menit ternyata durasi waktu yang keluar 6 atau 8 menit bahkan bisa lebih, dan masih adanya aplikasi lain yang bermain! inDrive tetap berkelanjutan
Syarifudin Amat;4;Positif;30/10/2023 08.22;Aplikasi indrive sekarang kurang jelas kebanyakan pada bikin Opik orderan asli jarang... tolong di perbaiki lagi supaya driver bisa mendapatkan orderan terimakasih.... aplikasi jual mod
ahmad zaki;1;Negatif;30/10/2023 08.18;Kalau udah logout. Susah loginnya lg . Masalah jaringan. Padahal sinyalnya full dan ga ada buffering
brother hood;5;Positif;30/10/2023 07.23;Semoga semakin baik lagi apk nyaa
Abraham Eky;5;Positif;30/10/2023 06.44;Indrive emang top lah....
Rendi Ardian;1;Negatif;30/10/2023 06.38;Yang gapake mod/driver baru mah gadikasih dapet,yang pake mood di baned aja lah kalo bisa mah
Husain Hakim;5;Positif;30/10/2023 06.19;sangat puas
Enung Rohaeti;5;Positif;30/10/2023 06.13;pengemudi sangat aman
Slamet Riyadi;1;Negatif;30/10/2023 05.58;PERINGKAT JADI ANCUR GAJELAS.. IT LO LULUSAN SD SEMUA APA???
Yoga Mardiana;1;Negatif;30/10/2023 05.19;"Hati"" Buat driver baru ga usah beli atribut percuma ga jadi prio, lebih baik pake aplikasi mod ga perlu atribut buang"" Duit"
Hubbus Sholawat Padangjaya;5;Positif;30/10/2023 05.14;Pelayanan lumayan. Untuk kedepannya diperbaiki lagi.
ki ki;1;Negatif;30/10/2023 04.54;Saya order disitu deket 2 menit . G tau nya jauh lama pula . Dan saya order lagi yg waktu nya 7 menit malah cepet datang nya ...
ツIfan. IM ᭄࿐;1;Negatif;30/10/2023 04.47;Huh
Rk 003;5;Positif;30/10/2023 04.37;Lebih di tingkatkan aplikasinya min map di aplikasi
Naufaldi Daffas;1;Negatif;30/10/2023 04.20;Busett dah pasrah bnget gua skrng udh seminggu kagak dapet dapet orderan ini begimana ceritanya mau makan apa saya kalau apk nya makin lama makin gak jelass susah dapet orderan
Sopian Hermawan;5;Positif;30/10/2023 04.15;Aplikasi keren
Okies_a'k'a Haris;5;Positif;30/10/2023 03.57;Ok
Faeyza Putra;1;Negatif;30/10/2023 03.30;Terlalu murah makanya jarang driver nya
Xiaomi Redmi;5;Positif;30/10/2023 03.29;terbaik
Ahmad Chaidir;5;Positif;30/10/2023 03.24;Bagaimana supaya jadi prioritas
Susanti;5;Positif;30/10/2023 03.18;memuaskan ,sejauh ini
Wahyu Din;5;Positif;30/10/2023 03.18;the best lah inDrive
Nyong Kel;1;Negatif;30/10/2023 03.16;maaf cuma bintang 1.. keluhan tentang aplikasi tidak ada solusi..
Epon Muryanti;5;Positif;30/10/2023 03.14;Erwin Trinanda
Tatang Supriatna;1;Negatif;30/10/2023 03.13;Tolong kepada tim terkait,mod dan sejenisnya udah mulai merajalela lagi,tolong di perketat lagi,gmn nie makin kacau makin kesini malah makin menurun pendapatan bukannya meningkat
Ahmad Mulyadi;1;Negatif;30/10/2023 02.50;makin banyak update makin parah orderan sudah 2 minggu orderan ga masuk lelang
Wiwin 123;5;Positif;30/10/2023 02.34;supir nya tepat waktu
Rama jaya;1;Negatif;30/10/2023 02.29;Uda mengajukan status prioritas dari tanggal 24 September tapi sampai sekarang belum juga jadi prioritas.
Bagus Wirayudha;5;Positif;30/10/2023 02.25;Goid
ASIA RAYA TEKNOLOGI;5;Positif;30/10/2023 02.18;bagus kinerjanya lanjutkan
Renata Sadega (RYU'SATOR);1;Negatif;30/10/2023 02.16;Jumlah driver dan penumpamg tidak seimbang, terjadi ketimpangan sehingga pendapatan driver tidak bisa jadi acuan untuk pekerjaan utama
mbak dyah;5;Positif;30/10/2023 02.09;aplikasi ini sangat membantu dan mudah dioperasikan
Nuy Amora;5;Positif;30/10/2023 02.03;mohon maaf lupa lupa bangettt ada yg lupa. tas ya Alloh lupa
Diandra Cymot;5;Positif;30/10/2023 01.46;sangat membantu
Jhody Suryatama;5;Positif;30/10/2023 01.36;Kenapa perjalanan saya tidak bertambah padahal tiap hari online dan selalu dapat order
Edo Saputra;4;Positif;30/10/2023 01.27;Udah orderan sepi system gajelas, ngojek seharian cuma ngabisin bensin doang
DK Wisata Jogja Tours & Travel;1;Negatif;30/10/2023 01.23;Ini aplikasi apaan sih cuma muter muter ga jelas maksudnya apa ya
Edi Suhedi;2;Negatif;30/10/2023 01.23;Sangat buruk apk nya.tolong atubidt di adakan ga perlu di cocol.di cocol orderanya langsung ilang.di makan buaya🤣🤣
Mario Marvil;5;Positif;30/10/2023 01.00;sangatlah membantu
Dedi Abu Ahmad;5;Positif;30/10/2023 01.00;mantab
Aldi Dwi Saputra;1;Negatif;30/10/2023 00.50;Admin minta tolong penjelasannya dong, kata nya kalo beli atribu aplikasi nya bakal jadi prioritas tapi mana saya sudah 3 bulan tapi blm juga nih, maps nya kadang eror ada order jauh malah masuk yang Deket malah gak masuk, kalah sama yang pakai apk mod 🤦🏻🥺 mohon di berikan solusi nya min 🙏🏻
Pimardin Baene;1;Negatif;30/10/2023 00.31;banyak kali masalah jangan download aplikasi ini
Agus Budiman;5;Positif;30/10/2023 00.06;Bagus
oney suharyanto;5;Positif;30/10/2023 00.04;Mantap orderan ny sehari 1000 trip
Agus Subagio;4;Positif;29/10/2023 23.57;kita kerja benar TDK mengakali aplikasi ternyata masih banyak yg menggunakan auto cliker...hdddhhhh
Ditha nabila;1;Negatif;29/10/2023 23.51;Kacau indriver penumpang deket malah diambil sama yh jauh gk jls mangkin lma indriver ini dan mangkin parah kesian y bru pemula di perbaiki lagi dan jangan rebutan penumpang susah bagi pemula
Tirsa Dumbela;5;Positif;29/10/2023 23.44;mnrik
John Bird;5;Positif;29/10/2023 23.27;Ok
Oktavi Andu;5;Positif;29/10/2023 23.16;Oke
Wisnu Wardhana;1;Negatif;29/10/2023 22.37;gara gara indriver sistem lelang, gojek jadi ikutan jga sistem lelang
Wahyu Arles;5;Positif;29/10/2023 22.28;bagus
Dodi Setiawan;1;Negatif;29/10/2023 20.22;"di apk ini banyak orderan iseng"" GK jelas. Tolong di tindak yg suka bgitu, jadi driver dipermainkan macam maenan. Langsung diblok aja dll. Dan jarak penumpang yg Deket malah diambil driver yg jauh, GK jelas bener apknya sumpah. Jarak 200m aja GK dapet, aneh-aneh aja ini apk. Kalo mau terus maju yg Kya bgitu diperbaiki, saya sih udh males pake apk ini. Membagongkan."
eggy _in;1;Negatif;29/10/2023 20.03;Untuk orderan yang di batalkan penumpang Kenapa untuk pengembalian dana terlalu lama Sedangkan banyak banget orderan palsu yang masuk saat kita sudah di titik penumpang membatalkan Dan pada akhirnya saldo kita terkuras habis dan saldo limit gak bisa mendapatkan orderan salanjutnya karena saldo tidak mencukupi
Novianto Herlambang;1;Negatif;29/10/2023 18.30;Sistem indriver bobrok,masak.... setelah saya kena order tembak/fiktif 2x, besok nya selama 2hr saya gak di kasih order. Saya sangat kecewa sistem indriver sekarang.
mangap chennel;5;Positif;29/10/2023 17.31;Semoga ramai makin di kenal warga +62 Penguna cargo makin banyak kesini
Jeck manado;5;Positif;29/10/2023 17.30;bagus
Rohman Hariansah;4;Positif;29/10/2023 17.27;good
Han Farhan;1;Negatif;29/10/2023 17.25;In driver gajelas, cuman perkara kaga pernah aktif di aplikasi drivernya, malah di blokir akun nya dan dibuka lagi tahun 2095,macam apa coba tahun segitu dibuka, bukan jaman nya lagi ojol seperti ini!!
Marseno Mosez;5;Positif;29/10/2023 17.09;ok
Ikha Rosmayanti;1;Negatif;29/10/2023 16.57;masa tiap minggu harus d update trus sih
Riko yumi ueda;1;Negatif;29/10/2023 16.49;Argo tidak sesuai ketetapan pemerintah daerah
Lalan Muhram;5;Positif;29/10/2023 16.33;Knpa susah menerima order
Khaus Official (Campur Aduk);1;Negatif;29/10/2023 16.27;jaman sekarang masih sistem nyocol, auto ya kapan bos
hilda nurhaliza nasution;5;Positif;29/10/2023 16.20;bagus
Hendi Heryadi;5;Positif;29/10/2023 16.20;good
Ikeh;1;Negatif;29/10/2023 15.59;Setiap mau login gagal trus. Padahal pake aplikasi asli Playstore. Udah restart hp udah nunggu lima menit sampe 24 jam masih engga bisa juga.
Squad Ode Top 25;4;Positif;29/10/2023 15.42;Terbaik
