"ulasan","pfm+","pfm-","psn+","psn-","byr+","byr-","ftr+","ftr-","tpl+","tpl-","umu+","umu-","label"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Aplikasinya mempermudah dan bagus","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Aplikasinya mempermudah dan bagus","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Aplikasinya mempermudah dan bagus","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","0","0","0","0","0","0","0","0","1","0","1","0","000000001010"
"Update nya bagus, bagus bgt, apalagi tampulannya jadi lebih baru ","0","0","0","0","0","0","0","0","1","0","1","0","000000001011"
"Update sangat tidak nyaman Memang tampilan lebih baik Tapi buat apa tampilan baik kalo malah jadi lebih ribet Tolong tampilkan harga tiket per kelas bukan per nama kereta Sangat menyusahkan Dan tolong kembalikan filter kelas pada filter pencarian","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Setelah update malah fitur connecting train nya lemot, ini aplikasi baru sekali atau update versi saja? Kalo update seharunya tidak mengganggu fitur yang sudah ada, tetapi ini malah merusak fitur lama","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Tambah lemot, Fitur nambah tapi sistem gak support","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Kini Versi Terbaru Access By KAI Jauh Lebih Baik Daripada Versi Sebelumnya, Lebih Modern Dan Colorful, Saran Saya Tambahkan Beberapa Fitur Lain Dan Perbaiki Beberapa Bug Yang Masih Ada, Maju Terus KAI!!","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"sangat tidak ramah untuk penggunaan pembelian tiket harusnya cuman isi data diri ,pilih kursi, langsung bayar sekarang ada pembelian makanan , tiket transportasi dll sangat menganggu proses transaksi harusnya di pisah dari tools utama yaitu pembelian tiket jangan di selipi untuk pesan makanan maupun akomodasi transportasi. terimakasih","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"jadi ngga bisa cek jadwal krl, aplikasi malah jd lebih rumit, simple yg versi lama","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Apk terbaru kebanyakan menu","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Aplikasinya update sendiri, tp setelah ter update tidak bisa lagi melihat jadwal kereta.","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Secara user interface lebih baik yang sebelumnya, mungkin ya memang lebih terkesan modern atau bagus dipandang. Namun sedikit saran untuk bagian pemilihan tiket apabila semua tiket pada kategori tersebut habis makan seharusnya otomatis turun atau pindah ke bawah seperti dulu, serta harusnya ada perubahan harga dari harga mulai dari menjadi tiket paling murah yang tersedia sehingga lebih memudahkan percarian tiket sesuai kebutuhan.","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Coba dihilangkan aja fitur yang nggak relate sama KAI kayak beli paket data, pulsa dan token listrik biar aplikasi ini semakin efisien dan mengurangi beban server juga sehingga nggak overload ketika lagi banyak yang ngakses atau war tiket.","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Coba dihilangkan aja fitur yang nggak relate sama KAI kayak beli paket data, pulsa dan token listrik biar aplikasi ini semakin efisien dan mengurangi beban server juga sehingga nggak overload ketika lagi banyak yang ngakses atau war tiket.","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Setelah update malah fitur connecting train nya lemot, ini aplikasi baru sekali atau update versi saja? Kalo update seharunya tidak mengganggu fitur yang sudah ada, tetapi ini malah merusak fitur lama","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Tambah lemot, Fitur nambah tapi sistem gak support","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Coba dihilangkan aja fitur yang nggak relate sama KAI kayak beli paket data, pulsa dan token listrik biar aplikasi ini semakin efisien dan mengurangi beban server juga sehingga nggak overload ketika lagi banyak yang ngakses atau war tiket.","0","0","0","0","0","0","0","1","0","0","0","0","000000010000"
"Di update bukannya makin bagus malah makin buruk. Tidak se simpel praktis dulu. Banyak iklan.","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"aplikasi g guna, klo g bisa meng operasikan aplikasi mending offline aj, malah di tiadakan offline","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"fiturnya lebih ribet & membingungkan . lebih simpel aplikasi sebelumnya . ,ðŸ™","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"Aplikasinya kebanyakan fiture jembot, kebanyakan kreatif aplikasinya sampe gabisa di pakai","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"Di update bukannya makin bagus malah makin buruk. Tidak se simpel praktis dulu. Banyak iklan.","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"aplikasi g guna, klo g bisa meng operasikan aplikasi mending offline aj, malah di tiadakan offline","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"fiturnya lebih ribet & membingungkan . lebih simpel aplikasi sebelumnya . ,ðŸ™","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"Aplikasinya kebanyakan fiture jembot, kebanyakan kreatif aplikasinya sampe gabisa di pakai","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"Di update bukannya makin bagus malah makin buruk. Tidak se simpel praktis dulu. Banyak iklan.","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"fiturnya lebih ribet & membingungkan . lebih simpel aplikasi sebelumnya . ,ðŸ™","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"fiturnya lebih ribet & membingungkan . lebih simpel aplikasi sebelumnya . ,ðŸ™","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"Aplikasinya kebanyakan fiture jembot, kebanyakan kreatif aplikasinya sampe gabisa di pakai","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"Di update bukannya makin bagus malah makin buruk. Tidak se simpel praktis dulu. Banyak iklan.","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"fiturnya lebih ribet & membingungkan . lebih simpel aplikasi sebelumnya . ,ðŸ™","0","0","0","0","0","0","0","1","0","0","0","1","000000010001"
"Ternyata tidak sepenuhnya memudahkan proses boarding, tetap diminta KTP untuk pengecekan. Apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek KTP? Aplikasi tidak berguna...ðŸ¥±ðŸ¥± Tambahan tampilan juga bikin ribet kalo mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal upgrade ke Access kaiðŸ¥±ðŸ¥±","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Cari tiket nya jadi sedikit menyusahkan, harus drop down dulu, kurang jelas tiket mana yg available, lebih jelas tampilan di versi sblm nya.. dan jadi tidak bisa sorting tiket yg available menurut harga,dsb.. Yg tersorting hanya judul besar tiket.. saran nya mungkin dikembalikan saja tampilan tiket nya seperti versi sebelumnya, menurut saya itu sudah sangat jelas","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"jadi makin ribet. bagi orang2 tua ini menyusahkan ya ui ux ny,, kalo dulu lebih sederhana,","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Parah enak versi dulu. dulu gabingung mau liat tiket yang udah dipesan dimana, sekarang kebanyakan printilan2 yang ga guna banget sumpahhhh","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Ternyata tidak sepenuhnya memudahkan proses boarding, tetap diminta KTP untuk pengecekan. Apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek KTP? Aplikasi tidak berguna...ðŸ¥±ðŸ¥± Tambahan tampilan juga bikin ribet kalo mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal upgrade ke Access kaiðŸ¥±ðŸ¥±","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Cari tiket nya jadi sedikit menyusahkan, harus drop down dulu, kurang jelas tiket mana yg available, lebih jelas tampilan di versi sblm nya.. dan jadi tidak bisa sorting tiket yg available menurut harga,dsb.. Yg tersorting hanya judul besar tiket.. saran nya mungkin dikembalikan saja tampilan tiket nya seperti versi sebelumnya, menurut saya itu sudah sangat jelas","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"jadi makin ribet. bagi orang2 tua ini menyusahkan ya ui ux ny,, kalo dulu lebih sederhana,","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Parah enak versi dulu. dulu gabingung mau liat tiket yang udah dipesan dimana, sekarang kebanyakan printilan2 yang ga guna banget sumpahhhh","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Ternyata tidak sepenuhnya memudahkan proses boarding, tetap diminta KTP untuk pengecekan. Apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek KTP? Aplikasi tidak berguna...ðŸ¥±ðŸ¥± Tambahan tampilan juga bikin ribet kalo mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal upgrade ke Access kaiðŸ¥±ðŸ¥±","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Cari tiket nya jadi sedikit menyusahkan, harus drop down dulu, kurang jelas tiket mana yg available, lebih jelas tampilan di versi sblm nya.. dan jadi tidak bisa sorting tiket yg available menurut harga,dsb.. Yg tersorting hanya judul besar tiket.. saran nya mungkin dikembalikan saja tampilan tiket nya seperti versi sebelumnya, menurut saya itu sudah sangat jelas","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"jadi makin ribet. bagi orang2 tua ini menyusahkan ya ui ux ny,, kalo dulu lebih sederhana,","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Parah enak versi dulu. dulu gabingung mau liat tiket yang udah dipesan dimana, sekarang kebanyakan printilan2 yang ga guna banget sumpahhhh","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Ternyata tidak sepenuhnya memudahkan proses boarding, tetap diminta KTP untuk pengecekan. Apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek KTP? Aplikasi tidak berguna...ðŸ¥±ðŸ¥± Tambahan tampilan juga bikin ribet kalo mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal upgrade ke Access kaiðŸ¥±ðŸ¥±","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Cari tiket nya jadi sedikit menyusahkan, harus drop down dulu, kurang jelas tiket mana yg available, lebih jelas tampilan di versi sblm nya.. dan jadi tidak bisa sorting tiket yg available menurut harga,dsb.. Yg tersorting hanya judul besar tiket.. saran nya mungkin dikembalikan saja tampilan tiket nya seperti versi sebelumnya, menurut saya itu sudah sangat jelas","0","0","0","0","0","0","0","1","0","1","0","1","000000010101"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Update otomatis, biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Update otomatis, biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Update otomatis, biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Update otomatis, biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Update otomatis, biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Update otomatis, biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Update otomatis, biasa nya tiket kereta yang sudah habis ga ditampilin ini yang sudah habis ditampilin kirain masih tersedia","0","0","0","0","0","0","1","0","0","0","0","0","000000100000"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Cukup membantu dalam mencari informasi mengenai jadwal KA dan promo","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Ini UI di update terbaru sangan menyenangkan, ada KA Lokal, Antar kota, KA bandara dan komputer yg terpisah menunya. Jadi kebih mudah, cepat dan juga railfood ðŸ¥°ðŸ¥°","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Masih mudah dan gampang di pahami aplikasi yg terbaru,,","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Setelah upgrade terbaru, sangat memuaskan program ny berubah dan menjadi lebihh memuaskan. Lebih mudah aplikasi yg terbaru daripada yg sblum nya.","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Setelah upgrade terbaru, sangat memuaskan program ny berubah dan menjadi lebihh memuaskan. Lebih mudah aplikasi yg terbaru daripada yg sblum nya.","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Diperbarui makin bagus, lancar trus fiturnya juga banyak dan lengkap jadi pesen tiket kereta bisa seklain pesen hotel beli kuota internet juga","0","0","0","0","0","0","1","0","0","0","1","0","000000100010"
"Hallo, menurut saya penggunaan aplikasi kai acces terbaru ini kurang memuaskan karna system yang kurang responsif membuat saya melakukan double payment melalui kai-pay dengan tiket yang sama, padahal niat awal hanya ingin merefresh saja. Tolong dibenahi supaya tidak ada consumen yang mengalami hal kurang menyenangkan seperti saya, terima kasih.","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
"Ini knp kok gak bisa bayar pake link aja","0","0","0","0","0","1","0","0","0","0","0","0","000001000000"
