"content","label"
"Tidak puas, driver pemula dituntut buat naikin rating, supaya tinggi.. gimana mau naikin rating orderan juga susah dapat.. teruss yg dikasih yg rating tinggi.. mending jgn tambah driver .. percuma kasihan malah buang"" modal","Negatif"
"Tolong tarif perjalanan di palembang sangat murah,beda sama kota lain sesama indrive,kalo potongan ke indrive nya sama ,emang di palembang harga BBM murah ya dibanding kota lain,tolong di perbaikin maslah tarif,sesama indrive aja lebih murah kota palembang,apalagi dibanding sama kompetitor ...hancuuur","Negatif"
"Setiap order masuk, selalu ada notif kesalahan dan sampai tidak bisa masuk lelang, aplikasi aneh","Negatif"
"jangan selalu update","Netral"
"Good","Positif"
"saya baru pemula, dan maaf. apakah semua ongkos nya gak sama dengan di aplikasi? di apk sekian, tpi pas naik minta tambah ongkos lgi. emang begitu ya ka?","Positif"
"Perbaiki dulu layanan customer service....tidak memberikan solusi dan tidak menyelesaikan masalah. HARUSNYA TIDAK ADA DANA YG TERPOTONG ATAS PEMBATALAN ORDER, KALO PEMOTONGAN DANA INI MASIH TERJADI....DRIVER TIDAK MAU MENGAMBIL ORDERAN KRN BANYAK NYA ORDERAN FIKTIF. BAIK NYA DI KEMBALIKAN KE SISTEM DULU TANPA ADA PEMOTINGAN SALDO. HARUSNYA SEMAKIN KEDEPAN SISTEM SEMAKIN BAGUS, PERCUMA UPDATE2 TERUS KALO SISTEMNYA MAKIN MUNDUR.","Negatif"
"Ribet kalau apk jadi satu sama pelanggan","Netral"
"Aplikasi paling ganjen asli gonta ganti tampilan mulu . Yang membuat eror aplikasi .jangan main main ini masalah pekerjaan . Jika mau maintance mending pada malam hari jangan di jam sibuk membuat akan kerugian","Negatif"
"Pembaruan tuh biar makin bagus bukan malah makin bobrok .","Negatif"
"Veryy godd","Positif"
"ramah tiba dengan cepat bagus","Positif"
"Kenapa jadi susah sekali dapat penumpang, update bukannya bener malah susah !!!","Netral"
"sangat membantu...","Positif"
"Banyak yang pake tuyul ini aplikasi. Setiap saya pencet udah langsung di ambil sama orang. Coba lah yang pake aplikasi tuyul kaya gitu. Di banned langsung aplikasinya. Bener saya kecewa!","Negatif"
"saya suka indriverðŸ‘ðŸ‘ðŸ‘ðŸ‘","Positif"
"Kebanyakan berbuat curang semua memakai mod dengan jarak palsu dan orderan otomatis Sistem se olah tidak peduli Kami driver original tidak bisa bersaing dengan mereka yg berbuat curang Sampai kapan ini di biarkan yg melakukan ke curangan?","Negatif"
"Setelah TDK ada MOD INDRIVER sekarang joss","Positif"
"Kenapa driver yg jauh sering dpt order sedangkan yg deka lokasi malah susah dpt ordernya tolong diperbaiki","Netral"
"Tiap di cocol orderannya kok hilang, apa server nya ikut bermain dalam memberikan order ke driver...???","Negatif"
"update terbaru ...kok kenapa y sering logout sendiri aplikasi...","Positif"
"Mapsny ngaco.....jdi saya d cancel muluðŸ˜­","Netral"
"baik","Positif"
"Sebagai Driver, sekarang lebih susah dapat penumpang karena banyak Driver yang menggunakan Aplikasi MOD","Negatif"
"Sama ajj kaya tetangga sebelah aplikasi bisnis atribut driver baru prioritas iya penghasilan nya bagus ,,driver lama banyak delay nya orderan banyak di tolak dan penawaran sering kali kadaluarsa,,kacau..","Negatif"
"Sistem pengaman terhadap driver rendah..banyak orderan palsu yang ongkosnya 500 rb dan itu sangat memberatkan utk driver yang sehari2 pendapatan nya tidak seberapa. Tolong ditindak lah apa gunanya form aduan kalok g berlaku itu aduan ya dihilangkan..apalagi nilai aplikasi custumernya poin 1.0 pun masih bisa memesan ðŸ˜tiru aplikasi sebelah yang apabila pelanggan membatalkan 2 x aja maka di baned itu aplikasi customer nya...tolong hargai driver bro...","Negatif"
"Aplikasi bobrok. Jarak tempuh ga sesuai di aplikasi 2km. Aslinya 4km. Ga bisa ksh B1 k pnp. Ga fear dong.","Negatif"
"Bagus","Positif"
"Ini buat driver apk ini, peta nya yg salah, calon penumpang yg disalahin, mana lg Uber waktu, driver nya jg tengil2:,tolak2 in orderan, asal tau apk ojol banyak, driver ojol ribuan di jakarta, sy merasa di kerja in sdh nunggu lama tiba2, di batal kan sedangkan saya harus ontime.kebnyakan driver disini dr ikut GR* sm tengil2 jg, mknya sepi orderan di 2 apk ini","Negatif"
"Sangat bagus","Positif"
"goodjob","Positif"
"ongkos lebih murah, di banding sebelah","Positif"
"MOD merajalela, apk orsinil cuma nonton ðŸ˜”","Negatif"
"ok,","Positif"
"Kenapa di hp saya cuman indrive dan mobil perjalanan jauh aja","Negatif"
"Tolong dong maps nya ko telat posisinya Kita dah maju ehh di maps masih di belakang. Sama penjemputan penumpangnya perjelas di maps.ga ada tanda panah posisi motor kita!?","Positif"
"System indriver semakin hancur,driver kerja tiap hari dapat ulasan bagus malah peringkat dan ulasan di turunin tanpa sebab apa apa,luarbiasa system nya ..","Positif"
"Buat pendaftar akunn penumpang seharus nya kalau memdaftar akun nya juga pakai ktp/ kartu identitas lain nya, supaya mengurangi akun"" fake yg selalu buat orderan fiktif, selain itu juga bisa meminimalisir resiko yg tidak ingin terjadi","Negatif"
"Mohon di cek di email kami pak","Negatif"
"Semenjak versi terbaru notif orderan sudah jarang muncul padahal cs sangat dekat dengan kita bahkan yang masuk orderan yang jauh aneh sekali inddeiver sekarang ini.","Negatif"
"pengemudi ramah","Positif"
"Sangat Membantu Dalam Perekonomian","Positif"
"Koq malah makin kacau seharus nya pertahanin dong jangan sampe kaya sebelah konyol","Negatif"
"Percuma beli atribut kalau ujung ujungnya tidak prioritas","Negatif"
"tambahin metode pembayaran dongg, kaya gojek dan grab, biar lebih enak lagii hehe, jangan cuma cash ajaa, soalnya kalo ga megang uang cash susahh:((","Positif"
"Puas","Positif"
"Nice good","Positif"
"Get Paid 2 Play! When finished, review this app to confirm your earnings. What did you think of this app?","Positif"
"Di tolak terusss orderan nya,,kalah sama bot percuma prioritas GK ngaruh...taeeekk","Negatif"
"Senang sangad membantu","Positif"
"Aplikasi nya udah bagus tapi tolong yang pakai mod di non aktifkan Kasihan yang pakai apl ori","Positif"
"mantap,puas bgtðŸ˜ðŸ˜","Positif"
"Mohon untuk segera diperbaiki sistemnya, karena setelah update malah susah dapat order, jarang ada lelangan","Negatif"
"Mau ganti nomer hp yg terdaftar,gimana cara y,soal y nomer yg terdaftar sudah hangus","Negatif"
"aman","Positif"
"Bagus. Area jakarta kok belum autobid","Positif"
"Tampilan 2km, pas di Klik jadi 5km..","Negatif"
"nyaman","Positif"
"Kenapa perjalan gk bertambah meskipun sering dapet ? Terus kenapa mod semakin merajalela ? Kasihan yg akun2 baru kalo mod masih sebanyak itu","Negatif"
"Suka sekali","Positif"
"Verygood","Positif"
"saya sebagai driver hanya kasih saran.. pakai saja sistem dari GOJEK/GRAB untuk penugasan otomatis dari titik driver 2km dari penumpang..dijamin lenyap AUTOBID DAN BOT/MOD ! jika penumpang jauh dari driver lelang manual baru masuk akal.","Positif"
"Narik dari pagi balik ke pagi cuma dapet 1 orderan sudah ga kaya dulu rame nya penumpang saya harap bisa di lebih prioritas kan untuk drever agar dilakukan sistem auto bet","Negatif"
"Punya aplikasi jangan keluarin auto clik lah ngak sesuai konsep kan jadi tembus apl apk mod dari tgn tgn yg nyari keuntungan pribadi","Negatif"
"Sangat buruk susah dapet order.","Negatif"
"saya suka mendapatkan driver yang minta lebih","Negatif"
"Saya merasa tidak nyaman karena di Jawa Timur tidak ada kantor pusat untuk melapor kejadian yang tidak menyenangkan oleh penumpang, serta oknum driver yang merasa sesuka hati mereka ketika bekerja karena bayarannya/ongkosnya sedikit/murah di bandingkan aplikasi sebelah, sehingga mereka merasa kalo mau kualitas yang baik silahkan ke aplikasi sebelah yang lebih mahal bayarannya.","Negatif"
"good","Positif"
"Aplikasi masih belum optimal, aplikasi masih rendah keamanan sistem nya. Betul durasi waktu yang ada pada Apl ORI ialah durasi waktu yang diambil dari jarak kendaraan mobil, sehingga tenggang waktunya lama dimana posisi yang sebenarnya hanya 1 atau 2 menit ternyata durasi waktu yang keluar 6 atau 8 menit bahkan bisa lebih, dan masih adanya aplikasi lain yang bermain! inDrive tetap berkelanjutan","Negatif"
"Aplikasi indrive sekarang kurang jelas kebanyakan pada bikin Opik orderan asli jarang... tolong di perbaiki lagi supaya driver bisa mendapatkan orderan terimakasih.... aplikasi jual mod","Positif"
"Kalau udah logout. Susah loginnya lg . Masalah jaringan. Padahal sinyalnya full dan ga ada buffering","Negatif"
"Belum dicoba untuk daerah Makassar jadi bintangnya 3 dulu nanti ditambahi kalo sudah teruji","Netral"
"Semoga semakin baik lagi apk nyaa","Positif"
"Indrive emang top lah....","Positif"
"Yang gapake mod/driver baru mah gadikasih dapet,yang pake mood di baned aja lah kalo bisa mah","Negatif"
"sangat puas","Positif"
"pengemudi sangat aman","Positif"
"PERINGKAT JADI ANCUR GAJELAS.. IT LO LULUSAN SD SEMUA APA???","Negatif"
"Hati"" Buat driver baru ga usah beli atribut percuma ga jadi prio, lebih baik pake aplikasi mod ga perlu atribut buang"" Duit","Negatif"
"Pelayanan lumayan. Untuk kedepannya diperbaiki lagi.","Positif"
"Saya order disitu deket 2 menit . G tau nya jauh lama pula . Dan saya order lagi yg waktu nya 7 menit malah cepet datang nya ...","Negatif"
"Huh","Negatif"
"Lebih di tingkatkan aplikasinya min map di aplikasi","Positif"
"Busett dah pasrah bnget gua skrng udh seminggu kagak dapet dapet orderan ini begimana ceritanya mau makan apa saya kalau apk nya makin lama makin gak jelass susah dapet orderan","Negatif"
"Aplikasi keren","Positif"
"Ok","Positif"
"Terlalu murah makanya jarang driver nya","Negatif"
"terbaik","Positif"
"Bagaimana supaya jadi prioritas","Positif"
"memuaskan ,sejauh ini","Positif"
"the best lah inDrive","Positif"
"maaf cuma bintang 1.. keluhan tentang aplikasi tidak ada solusi..","Negatif"
"Erwin Trinanda","Positif"
"Tolong kepada tim terkait,mod dan sejenisnya udah mulai merajalela lagi,tolong di perketat lagi,gmn nie makin kacau makin kesini malah makin menurun pendapatan bukannya meningkat","Negatif"
"makin banyak update makin parah orderan sudah 2 minggu orderan ga masuk lelang","Negatif"
"supir nya tepat waktu","Positif"
"Uda mengajukan status prioritas dari tanggal 24 September tapi sampai sekarang belum juga jadi prioritas.","Negatif"
"Goid","Positif"
"bagus kinerjanya lanjutkan","Positif"
"Jumlah driver dan penumpamg tidak seimbang, terjadi ketimpangan sehingga pendapatan driver tidak bisa jadi acuan untuk pekerjaan utama","Negatif"
"aplikasi ini sangat membantu dan mudah dioperasikan","Positif"
"mohon maaf lupa lupa bangettt ada yg lupa. tas ya Alloh lupa","Positif"
"sangat membantu","Positif"
"Kenapa perjalanan saya tidak bertambah padahal tiap hari online dan selalu dapat order","Positif"
"Udah orderan sepi system gajelas, ngojek seharian cuma ngabisin bensin doang","Positif"
"Ini aplikasi apaan sih cuma muter muter ga jelas maksudnya apa ya","Negatif"
"Sangat buruk apk nya.tolong atubidt di adakan ga perlu di cocol.di cocol orderanya langsung ilang.di makan buayaðŸ¤£ðŸ¤£","Negatif"
"sangatlah membantu","Positif"
"mantab","Positif"
"Admin minta tolong penjelasannya dong, kata nya kalo beli atribu aplikasi nya bakal jadi prioritas tapi mana saya sudah 3 bulan tapi blm juga nih, maps nya kadang eror ada order jauh malah masuk yang Deket malah gak masuk, kalah sama yang pakai apk mod ðŸ¤¦ðŸ»ðŸ¥º mohon di berikan solusi nya min ðŸ™ðŸ»","Negatif"
"banyak kali masalah jangan download aplikasi ini","Negatif"
"Bagus","Positif"
"Mantap orderan ny sehari 1000 trip","Positif"
"kita kerja benar TDK mengakali aplikasi ternyata masih banyak yg menggunakan auto cliker...hdddhhhh","Positif"
"Kacau indriver penumpang deket malah diambil sama yh jauh gk jls mangkin lma indriver ini dan mangkin parah kesian y bru pemula di perbaiki lagi dan jangan rebutan penumpang susah bagi pemula","Negatif"
"mnrik","Positif"
"Ok","Positif"
"Oke","Positif"
"gara gara indriver sistem lelang, gojek jadi ikutan jga sistem lelang","Negatif"
"bagus","Positif"
"di apk ini banyak orderan iseng"" GK jelas. Tolong di tindak yg suka bgitu, jadi driver dipermainkan macam maenan. Langsung diblok aja dll. Dan jarak penumpang yg Deket malah diambil driver yg jauh, GK jelas bener apknya sumpah. Jarak 200m aja GK dapet, aneh-aneh aja ini apk. Kalo mau terus maju yg Kya bgitu diperbaiki, saya sih udh males pake apk ini. Membagongkan.","Negatif"
"Untuk orderan yang di batalkan penumpang Kenapa untuk pengembalian dana terlalu lama Sedangkan banyak banget orderan palsu yang masuk saat kita sudah di titik penumpang membatalkan Dan pada akhirnya saldo kita terkuras habis dan saldo limit gak bisa mendapatkan orderan salanjutnya karena saldo tidak mencukupi","Negatif"
"Sistem indriver bobrok,masak.... setelah saya kena order tembak/fiktif 2x, besok nya selama 2hr saya gak di kasih order. Saya sangat kecewa sistem indriver sekarang.","Negatif"
"murah cuman aplikasinya crash terus tiap buka maps buat beri titik akhir","Netral"
"Semoga ramai makin di kenal warga +62 Penguna cargo makin banyak kesini","Positif"
"bagus","Positif"
"good","Positif"
"In driver gajelas, cuman perkara kaga pernah aktif di aplikasi drivernya, malah di blokir akun nya dan dibuka lagi tahun 2095,macam apa coba tahun segitu dibuka, bukan jaman nya lagi ojol seperti ini!!","Negatif"
"ok","Positif"
"masa tiap minggu harus d update trus sih","Negatif"
"Argo tidak sesuai ketetapan pemerintah daerah","Negatif"
"Knpa susah menerima order","Positif"
"jaman sekarang masih sistem nyocol, auto ya kapan bos","Negatif"
"bagus","Positif"
"good","Positif"
"Setiap mau login gagal trus. Padahal pake aplikasi asli Playstore. Udah restart hp udah nunggu lima menit sampe 24 jam masih engga bisa juga.","Negatif"
"Terbaik","Positif"
"Tolong pengembalian dana bisa secepatnya,jagan sampai ngendap berlama-lama.supaya bisa di pake ambil order lagi.itukan ulah CS fiktip sehingga terkena potongan saldo","Negatif"
"ok","Positif"
"PARAHHH CS BISA MAENIN ARGO.. EDIT ARGO.. JARAK 22KM NORMAL NYA 60RBAN BISA JDI 30 REBU.. UDH KACO SYSTEM INDRIVE..","Negatif"
"Apk bodoh ga prof Order menghilang dan tidak di ambil driver","Negatif"
"1 apk tidak bagus 1 harian Bawak indrever cuma dapat 4 orderan untuk minyak pun kurang gak beres apk nya","Negatif"
"banyak orderan fiktif, banyak dreiver pakai aplikasi curang, bikin orderan fiktif, aplikasi bisa hancur karena ulah dreiver nakal","Negatif"
"TOLONG ORDERAN FIKTIF YANG BUAT MOTOR DI BASMI,MERUGIKAN DRIVER,SAYA SUDAH DUA KALI KENA","Negatif"
"Gak tau ini indriver kenapa dibagian chat dengan pengemudi tidak bisa dibuka dan selalu ""terjadi kesalahan, silahkan coba nanti"" aneh ini duh. Tolong segera perbaiki. Saya sudah update karena menghindari bug atau error ternyata eh malah error juga nih udah diupdate tuh","Positif"
"Aplikasi nya kurang bagus sorry ya","Negatif"
"""Apa yang diharapkan dari narik Indriver sekarang... AUTOBID DIHILANGKAN,,Orderan jauh berkurang malah 0 orderan...Pantas banyak yang beralih ke MOD,,hampir 90% pakai MOD,,kalau begini Lama2 Indriver akan ditinggalkan Driver ORI & Penumpang yang komplen karena Indriver tidak mendengarkan KELUHAN2 kami....","Negatif"
"Saya mengirim screenshot asli bukan rekayasa kenapa di tolak?? Tolong berikan saya contoh screenshot yang benar. Terimakasih","Negatif"
"bnyk driver yg pakai aplikasi tuyul...yg jujur ga bakal dpt orderan","Negatif"
"Mantap âœ¨ï¸","Positif"
"Bagus","Positif"
"Insya allah bisa membantu","Positif"
"Semoga akun ku gacor.","Positif"
"moga lebih sukses","Positif"
"Entah kenapa akhirÂ² ini dapat driver yg nggak jelas. Dari mobil bau rokok, driver yg kurang sopan terkesan menyalahkan penumpang pdahal dia yg salah persepsi soal alamat tujuan, sampai driver yg nyasar jemput lama banget tapi ditelpon nggak dijawab. Tolong diperbaiki lagi sistemnya. Terima kasih","Negatif"
"Rezeky sudah ada yang ngatur , kita cuma bisa berusaha ... ðŸ™","Positif"
"aplikasinya bagus sekali sangat membantu","Positif"
"oke","Positif"
"sangat tepat waktu","Positif"
"Tolong lah di kota Cirebon di kasih tawaran otomatis nya","Positif"
"Saya driver yg sangat susah sekali mendapatkan orderan karena masih banyak driver yg pake apk mod.Buat rekan rekan driver yg ori jangan harap dapat orderan.Saya yakin kalau sistemnya tidak di perbaiki maka akan banyak driver yg meninggalkan indrive dan customer akan pindah ke apk ojol sebelah.","Negatif"
"Mantap","Positif"
"Udah 2 hari gapernah masuk lelangan. Gimana ini indrive?","Negatif"
"Koq di upload nggak prnah jdi yah,....","Negatif"
"bagus deh","Positif"
"Aplikasi gak berguna sudah 3 bulan sama sekali tidak dapat orderan. Saya tunggu di tempat keramaian jarak dekat notif tidak ada langsung muncul tulisan orderan sudah diambil. Aplikasi gak berguna sama sekali habis habisin bensin aja. Tolong dong kepada tim IT jangan tidur aja. Aplikasi ini tolong secepatnya diperbaiki banyak driver yang mengeluh tentang aplikasi ini yang gak berguna sama sekaliðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡","Negatif"
"Apaan kemaren 15k sekarang malah 28k padahal rute yg sama. Aplikasi payah","Negatif"
"good job","Positif"
"Cukup bagus","Positif"
"nyaman bnget","Positif"
"Saran saya Jangan gunakan aplikasi Indrive, Karena udah banyak Apk Mod yang meresahkan, Udah sebulan gak dapet Order, Ini Aplikasi Buruk banget, jangan dipakai gak recomended, kasian yang mau cari uang buat nafkahi keluarga.. Karena gak ada perhatian dari pihak InDrive, mau jadi prioritas aja sulit udah sebulan Tidak ada Stok jaket sama helm, Tapi meski jadi prioritas tetap kalah sama aplikasi Mod, Payah ini aplikasi.. Segera beralih ke aplikasi lain.. ðŸ¤¦ðŸ½â€â™‚ï¸ðŸ¤¦ðŸ½â€â™‚ï¸ðŸ¤¦ðŸ½â€â™‚ï¸","Negatif"
"Pendaftaran online saya di tolak terus. Padahal berkas sesuai dan lengkap seperti persyaratan","Negatif"
"masih sulit dalam ongkos mobil driver nya, soal nya mahal sekali ongkos nya, ngga bisa di tawar kan ðŸ™ðŸ™ðŸ™","Positif"
"jadi lemot bgt nih aplikasi.segera perbaiki","Negatif"
"great aplication","Positif"
"good","Positif"
"selalu jawaban yg gak pasti.bukti nyata driver jabodetabek pake mod semua.gak ada yg pake ori.","Negatif"
"Klo in driver minimal berapa orang untuk penumpang go car","Positif"
"baik","Positif"
"Ok","Positif"
"Makin kesini makin anyep alias sepi orderan Seharian di nyalain gak ada satu 1 yg nyantol Padahal akun udah high Akun bot,mod merajalela . Merugikan Cst sama driver original Dan heran masih di biarkan sama pihak aplikator. Membuat cst pindah ke aplikator lain .","Negatif"
"menyenangkan","Positif"
"good llll","Positif"
"Aplikasi bagus","Positif"
"In drive sudah bagus, biaya perjalanan sangat terjangkau karena kita sendiri yang atur. Namun dalam menentukan posisi melalui peta sangat susah karena terjadi Lag. Mohon di perbaiki.","Netral"
"best","Positif"
"baik","Positif"
"Top","Positif"
"alhamdulillah tdk pernah mengecewakan selama pake indrive","Positif"
"Ada 1 hal yang mau saya tanyakan, tujuan indriver kasi customer pilih driver itu apa? Apakah untuk memilih unit kendaraan? Menurut indriver apakah itu adil bagi driver yang sudah berprestasi dengan rating 5 bintang tapi kalah saing karena unit kendaraan? Kenapa indriver tidak menetapkan standar penerimaan driver spy menghindari halÂ² seperti itu. Driver dengan jarak terdekat knp harus dipilih lagi? Semoga indriver bisa lebih bijak dalam membuat aturan. Terima kasih","Netral"
"nyaman","Positif"
"Sekarang koq map nya gak akurat. Jarak Tampilan orderan gak sesuai sama map.","Netral"
"tarif nya terjangkau","Positif"
"Petanya utk indonesia tidak akurat terutama jaraknya di order 2km aslinya 5km","Netral"
"sangat berguna","Positif"
