,ulasan,label
93,udah update ui kualitas buruk lihat jadwal krl jalur rangkas tanah abang,Negatif
94,kai access pembaruan pas pesen aplikasinya lancar banget,Positif
95,pelanggan setia kai paus versi terbaruny memudahkan dlm pesan mudah cek kereta mudah bayrnya mudah tambahan yng berguna salutnya tambahan tpai lancar lemot lemot,Positif
96,mantap beli commuter kai acces mempermudah pengguna yeay terimakasih,Positif
97,habis terganggu lemot ganti kursi penumpang niat email kirim cek disitu video kendalanya merespon bot pesan ka lokal eror tolong perbaiki,Negatif
98,diperbaharui lemot susah buka apkny sinyal bagus ngecek susah semoga diperbaiki dpt memudahkan penumpang apk kai,Konflik
99,kereta api bookingnya mudah aplikase lancar,Positif
100,udah gk lemot mesen lokal antarkota pake online apk lancar parah gk lemot memudahkan diperbarui huhuhhu suka,Positif
101,izin kendala pendaftaran member kode menekan tombol lanjutkan pikir sinyal alhasil susah beli harua daftar member,Negatif
102,tolong ganti susah bingung pesen,Negatif
103,jujur versi simpel mempermudah tinggal pilih tanggal langsung lihat ketersediaan versi terbaru ribet klik keretanya lihat ketersediaan,Konflik
104,jelek jelek kerja sulitnya pesan mending balikin ribet loadingnya darah,Negatif
105,lemot mesen lokal loading mesen online apk lemot parah udah sulit dipersulit,Negatif
106,pelanggan setia kai paus versi terbaruny memudahkan dlm pesan mudah cek kereta mudah bayrnya mudah tambahan yng berguna salutnya tambahan tpai lancar lemot lemot,Positif
107,proses mudah memakan memakan wkatu versi,Positif
108,ok cepat lgsung,Positif
109,kendala pesen kereta pake kai mudah cepet,Positif
110,ok cepat lgsung,Positif
111,apk versi suka udah masuk versi lancr mduah cari pesen tiektnya,Positif
112,otomatis terupdate versi memudahkan lancar pesan mudah kearena pp kerja commuter,Positif
113,dimana pesan reduksi update,Netral
114,mudah,Positif
115,update bermasalah login pengisian kode otp loading menunggu block jam masukkan kode otp qris kode qris kunjung muncul bayar jenis kelamin diubah direfresh jenis kelamin salah tertukar laki perempuan penumpang,Negatif
116,kai access terupdete fiturnya lengkp lemot lancar pesan kereta lancar,Positif
117,daftar diakses,Netral
118,mudah,Positif
119,mempermudah mempersulit kasian orang awam apk kai access,Negatif
120,akses eror gara eror manual stasiun,Negatif
121,upgrade susah mesen tiketnya pesan metode link hp udah terpasang aplikasinya tp disuruh download,Negatif
122,versi menarik tanpilan pesen langsung dapet macet lemot lancar suka qrisnya simepl,Positif
123,apk crash memesan lancar kehabisan pembayarannya mudah menggunaakn qris,Positif
124,stelah updte app udah lancar commuter line eror,Positif
125,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
126,pliss kai perbaiki apknya secepatmyaaaaa updet bnr bnr apk membantu beli lokal hrus pake apk gk pas beli lemooootttt banget penampilan bagus fungsional tolong banget perbaiki pagi telat kereta gk gra gra lemot apknya lemotnya pas log innya milih tiketnya dll dikasih mnit bayar abis loading udh ganti provider ttp,Negatif
127,susah dibuka pembelian malam keberangkatan,Konflik
128,ok cepat lgsung,Positif
129,loading lamaaaaa banget pas pencarian kursi pas udah masuk udah dipilih apk kn blm milih kursi kadang lancar kadang gitu versi lancar,Konflik
130,pelanggan setia kai paus versi terbaruny memudahkan dlm pesan mudah cek kereta mudah bayrnya mudah tambahan yng berguna salutnya tambahan tpai lancar lemot lemot,Positif
131,mempermudah mempersulit kasian orang awam apk kai access,Negatif
132,menu pilih pemberangkatan giliran kursi versi tetbaru susah mendingan versi gampang,Konflik
133,mempermudah mempersulit kasian orang awam apk kai access,Negatif
134,error daftar pesanan kosong upgrade gagal numbid ready harga promo pesan diupgrade,Negatif
135,dibandingin kai beda bgt segi performa lancar pesen bayarnya tmpilannya menarik ditambah terbaru bermanfaat bangett,Positif
136,error daftar pesanan kosong upgrade gagal numbid ready harga promo pesan diupgrade,Negatif
137,mudah cari pesen kemarin udah transaksi qris sukses besok pp memudahkan bingung,Positif
138,ngecek jadwal,Konflik
139,ui oke ux mencari danmembeli sold rangenya tulis available range harga trus ditawarkan memilih makanan memesan konyol pilihan membeli tanyain membeli makanan aneh kecewa ux better kemarin,Konflik
140,milih duduk lemot bgt suka,Konflik
141,apk versi suka udah masuk versi lancr mduah cari pesen tiektnya,Positif
142,upgrade susah mesen tiketnya pesan metode link hp udah terpasang aplikasinya tp disuruh download,Negatif
143,kai access udah update errornya udah ngga erorr udah normal pesen dll,Positif
144,diperbarui bagus lancar trus fiturnya lengkap pesen kereta seklain pesen hotel beli kuota internet,Positif
145,good job kai aplikasinya lancar banget cepat bgt upgrade mudah diakses,Positif
146,kualitasnya update pesan mudah eror lemot,Positif
147,bagus sayang lemotnya ampun memilih duduk tinggal menunggu kode time out ngga perjalanan mendadak beda cepat ngga loading,Negatif
148,apk crash memesan lancar kehabisan pembayarannya mudah menggunaakn qris,Positif
149,lemot banget beli cari gaenak ux,Negatif
150,kaai acces sya udah pesen bayar pke qris dana memudahkan banget,Positif
151,semenjak update udah ngak lemot membingungkan kereta penuh muncul untungnya pesen bayar aman gampang bgt,Positif
152,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
153,dibandingin kai beda bgt segi performa lancar pesen bayarnya tmpilannya menarik ditambah terbaru bermanfaat bangett,Positif
154,bagus sayang lemotnya ampun memilih duduk tinggal menunggu kode time out ngga perjalanan mendadak beda cepat ngga loading,Negatif
155,apk membantu detail kendala loadingnya cek jadwal commuter line susah mencari nama stasiun memakan loading hasil pencarian,Negatif
156,mudah cari pesen kemarin udah transaksi qris sukses besok pp memudahkan bingung,Positif
157,udah update ui kualitas buruk lihat jadwal krl jalur rangkas tanah abang,Negatif
158,keren nyaman aplikasinya serig pesen pake kai acces,Positif
159,error daftar pesanan kosong upgrade gagal numbid ready harga promo pesan diupgrade,Negatif
160,bagus lancar pemuda pesan,Positif
161,apk versi suka udah masuk versi lancr mduah cari pesen tiektnya,Positif
162,upgrade susah mesen tiketnya pesan metode link hp udah terpasang aplikasinya tp disuruh download,Negatif
163,bangku pas dipilih seat no available payah diupdate payah user friendly berat problem solve,Konflik
164,susah banget masuk pesen loading parah,Konflik
165,habis terganggu lemot ganti kursi penumpang niat email kirim cek disitu video kendalanya merespon bot pesan ka lokal eror tolong perbaiki,Negatif
166,efisien apk,Konflik
167,lancar pesen kereta bookng hotel kai sekrang,Positif
168,pake pesan gagal diaplikasi berhasil dna cepet lemot,Positif
169,lumayan membantu membeli kereta api admin lancar jg kendala update membernya susah oadahal datanya sesuai bagus padahaka sblmnya udah banget pesen tiketnya,Positif
170,versi menarik tanpilan pesen langsung dapet macet lemot lancar suka qrisnya simepl,Positif
171,lihat jadwal kereta pesan udah lbih mudah sblmnya lemottt parah pdhal lgi urgent,Positif
172,udah gk lemot mesen lokal antarkota pake online apk lancar parah gk lemot memudahkan diperbarui huhuhhu suka,Positif
173,apk membantu detail kendala loadingnya cek jadwal commuter line susah mencari nama stasiun memakan loading hasil pencarian,Negatif
174,menit pesen tenang,Konflik
175,mantap beli commuter kai acces mempermudah pengguna yeay terimakasih,Positif
176,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
177,diupgrade aneh cek sisa kursi tersedia beli,Konflik
178,interface ramah update ngga suka bgtt mata sakit menarik untung lancar pesen mudah bayarnya pake ovo user ovo bangwt,Positif
179,versi menarik tanpilan pesen langsung dapet macet lemot lancar suka qrisnya simepl,Positif
180,lancar pesen kereta bookng hotel kai sekrang,Positif
181,dibandingin kai beda bgt segi performa lancar pesen bayarnya tmpilannya menarik ditambah terbaru bermanfaat bangett,Positif
182,upgrade lancar pesen mudah tapilan mordern suka bgt fress,Positif
183,mohon maaf update akses lambat memilih kursi timeout menunggu menghabiskan,Negatif
184,izin kendala pendaftaran member kode menekan tombol lanjutkan pikir sinyal alhasil susah beli harua daftar member,Negatif
185,mudah,Positif
186,kualitasnya update pesan mudah eror lemot,Positif
187,lancar update smuanya lancar cepat mudah login mudah booking lemot muter nunggu jam bulak lemot untung sekarnag update memudahkan booking online,Positif
188,ok cepat lgsung,Positif
189,beli pake trus cek ilang pertanggungjawabannya gimana,Negatif
190,habis terganggu lemot ganti kursi penumpang niat email kirim cek disitu video kendalanya merespon bot pesan ka lokal eror tolong perbaiki,Negatif
191,lumayan membantu membeli kereta api admin lancar jg kendala update membernya susah oadahal datanya sesuai bagus padahaka sblmnya udah banget pesen tiketnya,Positif
192,pelanggan setia kai paus versi terbaruny memudahkan dlm pesan mudah cek kereta mudah bayrnya mudah tambahan yng berguna salutnya tambahan tpai lancar lemot lemot,Positif
193,setelag update lemot fiturnya dibeli bufferingnya menyebabkan menunggu dipenukaran cetak boarding kereta membeli tiker kotapun lemot bufferingnya dicoba internal kai langsung main update maksimal,Negatif
194,sadar pembaruan kai access access by kai kirain ngga sengaja uninstall taunya ganti nama fiturnya iconnya udah enak udah bener layanan pesen doang jual pulsa data bayar listrik app berat pesen susah daftar stasiunnya nggak muncul,Konflik
195,izin kendala pendaftaran member kode menekan tombol lanjutkan pikir sinyal alhasil susah beli harua daftar member,Negatif
