"Ulasan","Performa","Pemesanan","Pembayaran","Fitur","Tampilan","Umum"
"Ganti baru malah ngak bisa tuk pesan KA antar kota.tpi kalau KA lokasi bisa...","","Negatif","","","",""
"Lemmootnya minta ampun, tolong segera di perbaiki sistemnya. Lebih baik uninstal klo lemot bgt kya gini","Negatif","","","","",""
"Cepat,senyap,simpel......joooooooozzz berangkat..","Positif","","","","","Positif"
"Update terbaru malah jadi parah. Tambah lemot dan tambah ribet","","","","","",""
"Kalau bisa tingatkan lemotnya. Update malah bikin lemot.","Negatif","","","","",""
"Tambah lemot, Fitur nambah tapi sistem gak support","","","","Negatif","",""
"Error' daftar pesanan kosong upgrade gagal terus numbid ready harga promo gak bisa di pesan diupgrade begitu terus","","Negatif","","Negatif","",""
"Aplikasi diperbarui tapi malah mempersulit,dulu bisa bayar pakai ewallet sekarang gagal terus, mending dikembalikan kesebelumya malah lancar","","Konflik","","","",""
"padahal sinyal bagus tapi susah masuk ke apk terus udah di perbarui malah susah masuknya ini kenapa ya malah gini","Positif","","","","","Positif"
"Hah ini apa malah jadi gabisa dibuka samsek daritadi buka cuma muncul logone tok ga berfungsi samsek","Negatif","","","","","Negatif"
"Dalam proses pemesanan tiket lebih ribet dan memakan waktu yang lebih lama daripada versi yang dulu","","Negatif","","","",""
"Semenjak aplikasinya update jadi makin lemot hadehh","","","","","",""
"Tolong atuh perbaiki kualitas nya kan banyak yang pake aplikasi ini seharusnya lebih ditingkatkan lagi. Jangan tiba tiba keluar sendiri akun nya trs susah login lagi nya loading nya lama banget ampun","Negatif","","","","","Negatif"
"Ini update versi terbaru malah nggak bisa dibuka. Gimana yaaaaðŸ¥º","Konflik","","","","","Konflik"
"SATU KATA UNTUK APLIKASI TERBARU ( LEMOT )","Konflik","","","","",""
"Aplikasi yang baru tampilannya makin ribet, enak yang dulu tampilan simple dan lebih cepat dalam proses transaksi nya. Mungkin bisa diperbaiki lagi, dengan tidak terlalu meninggalkan tampilan lama yang lebih sederhana dan tidak ribet dalam proses pemesanan tiket","Positif","","","","","Positif"
"Fiturny banyak ...sepaket lemotnya juga minta ampun....","Konflik","","","Positif","",""
"Update baru bukan tambah baik malah tambah lemot...mending pakai yg sebelumnya sudah bagus kenapa kok diganti lagi...malah jd semarwut...jadi aplikasi unfaedah malahan.. Saran saya kembalikan seperti aplikasi sebelumnya saja mudah nyaman dan bagus","Konflik","","","","","Negatif"
"makin update makin jelek","Negatif","","","","","Negatif"
"ko tampilan nya lebih enak yang dahulu ya, di update malah jadi ruwet","","","","","Positif",""
"Gak ada fitur filter ganti nama keretanya ... Mohon di perbaiki lgi . Makasih","","","","Netral","",""
"Pembayaran gak banyak","","","Netral","","",""
"Setelah update jadi tak bisa di buka","Konflik","","","","",""
"System basi, lemot, engginer app basi transfer tiket keburu kiamat otp email dah bener muncul eror java terus","Negatif","","Negatif","","",""
"Makin kesini makin susah terhubung, sering gagal scan atau pembayaran lain.. Ngapain nyediain aplikasi kalo masih eror dan gak bisa stabil. Mending beli di loker. Makin payah ðŸ‘Ž","Negatif","","","","","Negatif"
"Gak bisa log in,koneksi timeout terus","Negatif","","","","","Negatif"
"mending app yg sebelumnya","Negatif","","","","","Negatif"
"Update versi terbaru tidak efisien dalam pencarian dan pembelian tiket, perlu diperbaiki untuk tiket yang sudah sold sebaiknya tidak muncul seperti versi sebelumnya. Sebagus bagusnya pelayanan adalah mendengarkan keluhan pengguna","Positif","","","","","Positif"
"Gblog ud ufdatr provider telkomsel gk masuk2 tolol aplikasi mening aplikasi yg dulu simpel ink stuk d tampilan gk masuk2 menu Pesen tiket d waktu smntara waktu habis untuk loading melakjkan pembayaran aplikasi samph makin buruk pelayanan","Negatif","","","","","Negatif"
"Jd males pkenya setelah update ga bisa msuk loading terus jd ribet mu msen tiket geðŸ‘Ž","","Negatif","","","",""
"Di samsung J3 pro tidak bisa d slide untuk lihat jadwal dan pesan tempat duduk kereta yang akan di pesan. Tolong di bantu untuk bisa di akses dengan HP layar d bawah 6""","","Netral","","","Netral",""
"Sangat membantu sekali","Positif","","","","","Positif"
"Buruk sangat buruk .. Reload sangat lama . Bahkan 15 menit pun .. Tiba2 no respon donk. 2x ketinggalan kereta gara2 reloadnya lama ... Bener bener mau ngatain kenapa sih d ubah ubah .. Kl prosesnya lama. Tolong perbaikin reloadnya","Negatif","Negatif","","","",""
"Baik saat pemesanan, login itu jadi lemot banget setelah di update, udah sekitar 1 jam tapi masih gagal untuk memesan karna loading padahal sinyal jelas bagus. fitur dulu lebih mudah untuk diakses walaupun yang saat ini tampilannya lebih fresh.","Positif","Positif","","","",""
"yg baru ini gak bisa milih tempat duduk kah?lemot bgt juga. lebih suka yg lama","Konflik","Konflik","","","",""
"Proses ganti jadwal kesulitan saat memilih reduksi","Negatif","","","","",""
"Gara gara ada promo kemerdekaan cara mendapatkan tiket jadi susah,saat di search keterangannya semua tiket habis tapi kenapa pakai aplikasi selain KAI seperti olshop masih banyak stok nya Tolong untuk kejelasan slot kursinya diakuratkan lagi","Negatif","Negatif","","","",""
"Ternyata harus restart hp setelah update aplikasi biar ga lemot","Positif","","","","","Positif"
"Update malah jadi banyak sampahh, harusnya kereta api yang sudah soldout gak usah MUNCUL LAGI,, HARGANYA JUGA GAK PASTI PASTI, KENAPA GA HARGA PAS AJA YANG MUNCUL,, BENER-BENER BIKIN KESEL","Negatif","Negatif","","","",""
"diperbarui bukannya update malah makin down, nyesel bgt w perbarui buka apk ditunggu berjam jam ga jalan bahkan seharian pun tetep ga jalan ðŸ˜­","Negatif","Negatif","","","",""
"Makin ga efisien, lebih baik apk sebelum nya","Konflik","Konflik","","","",""
"Baru kali ini kecewa, update yang terbaru bukannya semakin bagus, malah semakin lambat. Mau login harus nunggu lama, mau pesan tiket jadi susah. Mohon untuk segera ada solusinya ðŸ™","Negatif","","","Negatif","",""
"ngelag","Netral","","","","",""
"Ini setelah d update kenapa aplikasi nya jadi lemot banget min,bahkan logout sendiri,pas mau masuk jdi gk bisa masuk keterangan nya ""failed request"" padahal udah biasa dulu pake KAI acces, tolong donk klo memang harus pake aplikasi,aplikasinya yaa di bikin simpel dan mudah akses nya jangan jadi malah susah gini.","Negatif","","","Negatif","",""
"Berat bnget aplikasinya. ðŸ˜… sering keluar sendiri , jadwal krl gak lengkap setelah update. Buka aplikasi sampai 1 menit . Device lama samsung galaxy a50. Ini game berat?","Konflik","","","","","Konflik"
"Diskon apaan??","Negatif","","","","",""
"Lemot saat masuk menu. Saat lemot kadang akun sudah log out, lalu saat masuk lagi sudah log in.","Negatif","","","","",""
"Aplikasi kai akses barusan tadi update pas udah beres update pas login/memasuki email loading terus waktu yang lama beda dengan versi sebelumnya tidak ada bug atau lemot padahal jaringan kami tidak mungkin gk bagus ... Secepatnya di perbaiki karena besok ada keberangkatan lokal ke bdg timur","Negatif","Negatif","","","",""
"Dih gemes banget sama aplikasi KAI yang sekarang kenapa sih pake di rubah segala enak yang dulu sekarang lemot pollll fitur2nya juga gak jelas , jelas an yang dulu please deh kembalikan aplikasi kai yang dulu aja ðŸ§ðŸ§ðŸ§ðŸ§","Negatif","","","Negatif","",""
"mines sekali aplikasi sekarang mau upgrade aja susa,,, sebelum update bisa pesen tiket udah update ga bisa pesen harus join member basic,, giliran mau join ga bisa","Negatif","Negatif","","","",""
"Baru buka apk aja kok udh lemot ya? Padhal udh di upgrade","Negatif","","","","",""
"Setelah update aplikasi jadi lemot sekali, sering tiba-tiba log out sendiri, susah saat mau membeli tiket dan menyulitkan saat boarding","Negatif","Negatif","","","",""
"Sortiran msh bagus di aplikasi sblmnya. Bs sort kelas kursi","","Konflik","","","",""
"Baru update.Log in ny butuh verifikasi sms hp tpi lama bgt kirim otp sms nya. Mlh d lock akun ny. Hadeh. Gmn sii???","Konflik","","","","","Konflik"
"Jelek...benar2 jelek..saya sampai ga bisa kerja tetap waktu karena sulitnya pesan tiket dari aplikasi ini...mending balikin ke yang sebelumnya..ga ribet..yang ini loadingnya bikin darah tinggi...","Negatif","Negatif","","","",""
"Aduh repot banget sih, tiket saya hilang karena gak bisa masuk ke akun lama","Negatif","Negatif","","","",""
"Bikin aturan seenaknya ya. Bikin update tapi masih banyak bug, jadi saya gabisa pulang pakai kereta! Harusnya kalo aplikasi ada update gini ada aturan sementara untuk bisa beli tiket di konter untuk berapa minggu sampai aplikasi stabil. Coba liat sekarang. Karena cuma ada satu perusahaan yang punya kereta jadi seenaknya aja bikin aturan. Tau ga sih efeknya? ADA YANG GA BISA PERGI/PULANG PAKE KERETA KARENA MASALAH APLIKASI. Ngerti ga itu tuh vital? Mending cari alternatif transportasi lain skrng","Negatif","Negatif","","","",""
"Aplikasi nya sangat lemot... Saya batal terus saat mau bayar karna loading nya lama sampai waktu limit pembayaran nya habis","Negatif","","Negatif","","",""
"Pada saat masuk kok lama sekali, gak seperti apk KAI acces","Konflik","","","","",""
"Akunya suka tiba-tiba keluar sendiri","Netral","","","","",""
"diupdate malah gabisa masuk apk","Netral","","","","",""
"Request dong kai acces bikin reschedule perjalanan gitu, biar gak mubazir tiket saya kalo gak jadi bepergian. Thanks","","","","","","Konflik"
"Apa sii kenapa makin ancur ni apk ga bisa di akses lama loading nya","Negatif","","","","",""
"Apakah ini upgrade an KAI ACCESS sebelum ini?","Netral","","","","","Netral"
"KAI access yang udah di update banyak errornya","Negatif","","","","",""
"Log in sulit, lelet banget, udh susah login sekali masuk logout lagi hadeuuh","Negatif","","","","","Negatif"
"Tampilan Pencarian kereta, tiket yang sudah habis kenapa tetap muncul malah jadi PHP buat calon penumpang.","Negatif","Negatif","","","",""
"Aplikasi gag berguna setelah diupdate,,,parahhhhh","Negatif","","","","","Negatif"
"Lebih enak versi lama","Konflik","","","","",""
"APLIKASI LEMOT PARAH!!!!! BANYAK MENU MENU GAK PENTING, FOKUS JUAL TIKET AJA JANGAN ALIH FUNGSI LAINYA!!!!!","Negatif","","","","",""
"Semenjak update aplikasi lemot tampilan membingungkan. Kereta yang penuh masih muncul","Negatif","","","","",""
"Jadi lemot bgtt, enakan pake apk sblm diupdate","Negatif","","","","",""
"setelah di update ke versi lama saya jadi harus pesen tiket kalau di tempat yg ada wifi nya soalnya pake provider gak pernah bisa ngbug mulu.. malah kadang minta temen pesenin tiket karna dia masih versi lama belum di update.. jadi sering pake tiket yg di screenshoot gara2 perkara aplikasi ngbug.. padahal saya tiap hari naik kereta buat kerja mesti beli online udah gak bisa offline.. tolong perbaiki lagi sudah banyak yg komplain harusnya cepat dibenahi.. terimakasih..","Positif","Positif","","","",""
"Lemot..!! Mau mesen tiket lokal aja lama loading nya! mesen harus online tapi apk nya lemot parah. udah sulit jadi makin dipersulit","Negatif","Negatif","","","",""
"Ok","Netral","","","","",""
"semejak update pesen tiket kreta loadingnya lama banget. parahhhh.. jadi ketinggalan kreta gara gara mau pesen tiket tapi loadingnya gila lama banget. kecewaaaa.","","Negatif","","","",""
"Gak bisa masuk, plat merah loh jangan dibuat mainan","Negatif","","","","",""
"Angel, Sulit, Susah, Rumit... sudah klik Lanjutkan... gak jalan-jalan sampai waktunya habis","Negatif","","","","",""
"Bagus, setelah update aplikasi nya jadi lebih stabil dan tampilan nya yang efisien","Positif","","","","",""
"Masih susah dibuka enakan yang lama","Konflik","","","","",""
"Brengsek, man sekarang jadi susah login dan pesan tiket ribet saya mau pulang woy!! mana ini admin..","","Negatif","","","",""
"Mau login ga bisa,, lemot cuma muter aja ðŸ¤¦ðŸ¤¦","Negatif","","","","",""
"kalo segalanya mau online harusnya aplikasinya disiapin dulu sampe mateng jauh dari bug, lemot, ini aplikasinya aja belum optimal banyak bug, susah masuk, lemot ko udah maen harus beli online aja kasian orang yang mau naik kereta dibikin ribet engga jelas, bumn kerjanya ko gini","Negatif","","","","","Negatif"
"Tetap Update..Mudah Digunakan. Berikan Kami Pelayanan yang terbaik.","Positif","","","","",""
"Pliss KAI segera perbaiki apknya secepatmyaaaaa! , setelah updet bnr bnr apk tidak membantu! Apalagi beli tiket lokal hrus pake apk gk bisa ots. Pas mau beli malah lemooootttt banget, sangat percuma penampilan bagus tapi gak fungsional. Tolong banget segera perbaiki, tadi pagi saya telat naik kereta dan gk jadi naik gra gra lemot apknya!! Lemotnya di semua mau pas log innya. Milih tiketnya, pembayaran dll. Dikasih waktu 5 mnit buat bayar tapi waktunya abis sama loading, udh ganti provider ttp.","Negatif","Negatif","","","",""
"1. Ribet. Jadwal yg habis tidak lgsg off, tp harus dibuka dulu baru muncul jam keberangkatan buat dilihat masih ada atau nggak. Gak efisien nyari jam yg masih ada bangkunya. 2. Lemot. LEMOOOOOT BANGET, selesai iai data diri mau pilih kursi loadingnya lama banget.","Negatif","Negatif","","","",""
"Tampilan baru malah makin lemot parah aplikasi nya...","Negatif","","","","Negatif",""
"update masih banyak bug !! lebih smooth apps yg versi lama","Konflik","","","","",""
"Udah chat ga bisa login ke cs ga ada kelanjutan","","","","","","Netral"
"Yg versi baru lemot... pol... masih mending yg versi sebelumnya...","Konflik","","","","",""
"Sudah transaksi Qris sukses tiket buat besok PP tapi ngk ada di aplikasi bordingnya. Membingungkan aplikasinya","Negatif","Negatif","","","",""
"Kok tambah lemot, mau top up malah eror.","Negatif","","","","",""
"Makin di upgrade. Malah lemot Ga bisa pilih kursi terus setiap buka aplikasi suruh login terus","Negatif","Negatif","","","",""
"Aplikasinya jadi ngaco begini, mau cari nama kota & stasiunnya jd susah","Negatif","Negatif","","","",""
"Tujuannya apa, nampilin promo, tp tidak, tersedia, lebih bagus dan mudah versi sebelum nya.","Negatif","","","","","Negatif"
"Saya kasih bintang 1 dlu krn Upgrade aplikasi terbaru sangat lemot susah dioperasikan tdk spt aplikasi sebelumnya pdhl saya pengguna aktif tiap mgg pst pakai aplikasi KAI jd hapal bgt perbedaanya dg aplikasi sblmnya, saat memilih kereta loading super lama dan menampilkan kereta yg tiketnya sdh hbs diletakkan berurutan dg yg msh shg jd pengecoh, kalau mau lounching aplikasi terbaru mgkn bisa diuji coba terlebih dahulu biar lbh mermanfaat drpd keribetannya","Negatif","","","","",""
"Sekelas aplikasi pemerintah jeleknya minta ampun, server jelek","Negatif","","","","","Negatif"
"Mendingan kemaren, update malah ga jelas","Negatif","","","","",""
"PECAT UI/UX DESIGNERNYA SUMPAH !!! UI bagus tapi UX jelek, UI/UX designernyagausah ngide dah modal bagusin tampilan tapi user journey ga diperhatiin makin ribet, belajar lagi UI/UX nya :v","Negatif","","","","Negatif",""
"Mau masuk lemot, proses ke pembayaran juga lemot, sampai- sampai waktu pembayaran habis. Perbaiki lah ini aplikasi parah super lemot dari segala2nya","Negatif","Negatif","","","",""
"Diupdate kok malah ga bisa beli tiket ya... muter terus... tolong kedepannya jagan UI nya aja yg diperbaiki... mending versi yg lama.. versi yg baru jelek banget performanya..","Negatif","Negatif","","","",""
"Untuk membuka aplikasi jadi memerlukan waktu yang cukup lama setelah pembaruan.","Netral","","","","",""
"Pesan kereta lokal susah, waktusesi habis terus","","Netral","","","",""
"Lah kenapa sudah update malah makin ribet dan susah diakses.. Mohon diperbaiki min","Negatif","","","","",""
"Jadi ribet gini","Negatif","","","","",""
"Di perbaharui malah susah di buka.nyusahin....","Negatif","","","","",""
"Setelah di update dan tampilan baru malah lebih ..parah bug ny..loading lama....lemot..malah setelah update data nik berubah gmn ini team ...IT ny","Negatif","","","","Negatif",""
"Setelag update aplikasi menjadi sangat lemot di semua fiturnya, terutama di fitur Tiket Saya! Tiket yang sudah dibeli lama sekali bufferingnya menyebabkan kelamaan menunggu dipenukaran tiket/cetak boarding. Dan fitur Kereta untuk membeli tiker antar kotapun demikian begitu lemot bufferingnya. Mungkin seharusnya dicoba terlebih dahulu di internal KAI jangan langsung main update tetapi aplikasi belum bisa maksimal.","","Positif","","","",""
"Bagusan aplikasi lama. Pilihan reduksi tidak muncul. Dari segi visualisasi ,membagongkan tdk enak dilihat dan sulit dipahami. User interface tuh jangan ramai banget warnanya. user suka yg simpel. Apakah sblm launching tdk di uji dan analisis dulu ke user sampel. Balik kayak yg lama aja, simpel. Kl pun mau tambah fungsi, ya jangan diubah tampilannya semua.","Positif","","","","",""
"INI BAGAIMANA APLIKASI BARUNYA KOK ERROR? SAYA MAU PESAN TIKET JADI GABISA, GARA2 TIAP MAU BAYAR SELALU TIME OUT PADAHAL BARU SAJA DI KLIK TIBA2 SUDAH TIME OUT, SAMPAI SAYA LOGOUT DAN UNINSTALL ULANG TETEP GABISA, MAU HAPUS AKUN SAJA SEKALIAN JUGA GABISA, ALASANNYA KARENA ADA TIKET PERJALANAN YANG BLM SELESAI PDHL TIDAK ADA SAMA SEKALI WONG MAU BELI TIKET BARU AJA GABISA KOK.. GIMANA DONG INI SOLUSINYA? JADI SUSAH MAU BELI TIKET HARUS NYURUH ADEK SAYA PAKAI AKUNNYA","Negatif","Negatif","","","",""
"setelah update tambah lemot pak","Negatif","","","","",""
"D suruh upgrade ke basic tp ""idnum already exist"" itu gmna min. Kesel jg lama2","Negatif","","","","",""
"Mohon maaf setelah update akses menjadi lebih lambat, tidak seperti pada aplikasi sebelumnya. Saat memilih kursi timeout menunggu lama sekali. Menghabiskan banyak waktu","Negatif","Negatif","","","",""
"Sangat buruk saya telat 2 menit uang gabisa di refund malah hangus,jadi 200rbu cuman beli angin","Negatif","","Negatif","","",""
"Aplikasii kai setelah diupdate sangat sangatt jelek operasional yang lambat,beda sama aplikasi sebelum diupdate operasionalny lebih cepat,dan sekarang aplikasinya sangat sangat mempersulittt saya harap aplikasi ini bisa ditindaklanjutiiiiiii!!!!!!!!!!!!!!!!!","Negatif","","","","",""
"Di update bukan makin bagus . makin lemot jaringan susah masuk...gakjelas","Konflik","","","","","Konflik"
"Bikin aplikasi kok sampai g bisa di akses/eror. Sampai hampir g bisa dapat tiket di aplikasi gara"" eror. Akhirnya ya manual di stasiun.","Negatif","Negatif","","","",""
"Tolong dong kalo update aplikasi blm bisa maksimal jangan di paksain Udah kembali aja di jalan batu Buka aplikasi aja susah bgt berak kaya bawa gunung","Negatif","","","","",""
"Upgrade biar makin meningkat ini malah tambah parah, lemot dioperasikan. Gimana sih, malah mempersulit.. Hubungi lewat sosial media lain no respon. Parah banget.","Negatif","","","","",""
"Makin kesini makin menyusahkan","Negatif","","","","",""
"menu pilih pemberangkatan bisa, giliran cara kursi tak bisa versi tetbaru susah, mendingan versi lama lebih gampang","","Konflik","","","",""
"Lebih enak palikasi yang sebelumnya yang cepat","Konflik","","","","",""
"LEMOTTT POOOLLLLLLLL APLIKASI STUCK DI LOGO AJA, GABISA DIBUKA","Negatif","","","","",""
"Sejak diperbarui makin ribet.. Pesen tiket gabisa sat set.. Sering lemot.. Susah pesen tiket tertulis habis padahal real nta tiket masih tersedia.. Susah beli tiket di aplikasi skrng.. Hhh.. Balikin ajasih kek yg lama biar gak mempersulit pengguna.. Thx","Negatif","Negatif","","","",""
"Saya menyarankan untuk mengembalikan antarmuka aplikasi seperti sebelumnya, yang setelah update baru jadi sulit untuk membedakan tiket yang masih ada sama yang sudah habis","Netral","Netral","","","",""
"setelah aplikasi di update malah makin sulit diakses","Negatif","","","","",""
"Sebelum flash sale lancar,pas udah flash sale sellu loading g selesai selesai","","","","Konflik","",""
"Setelah update ke logo baru kok malah jadi makin parah ya. 1. Untuk masuk ke aplikasinya lama banget dan kadang logout sendiri 2. Saya mau pesen tiket kereta tp gak update akhirnya pesen via KAI web 3. Gak bisa buka tiket, padahal belom semua stasiun bisa pake face recognation jadi tetep harus liat kode booking, sedangkan untuk masuk ke aplikasinya aja susah Tolong dong diperbaikin lagi, kenapa masih bagus versi lama.","Negatif","Negatif","","","",""
"Mending kembali ke aplikasi kai sebelumnya, aplikasi yang terbaru malah bikin emosi lemot maksimal","Konflik","","","","",""
"Masih user friendly aplikasi yang lama","Positif","","","","",""
"Kenapa sekarang susah banget masuk pesen semua nya loading parah","Konflik","Konflik","","","",""
"Jadi lemot banget.","Negatif","","","","",""
"Banyak masalah sma bikin akun, minta di perbaiki sistem nya maaf","Negatif","","","","",""
"Perlu banyak perbaikan....","Positif","","","","",""
"aplikasi susah dibuka setelah melakukan pembelian tiket,padahal malam hari ini keberangkatan","","Konflik","","","",""
"Kok semakin lemot ya lebih suka apk yang lama","Konflik","","","","",""
"Fitur memang makin lengkap,namun saat di operasikan sangat lemoot sekali dalam fitur pembelian tiket kereta dan pengecekan tiket kereta.masih bagusan yang sebelum updateðŸ¥²","Konflik","","","","",""
"Lemot","Negatif","","","","",""
"Setelah update kok malah makin lemot yah, mau buka aplikasinya aja loading terus","Negatif","","","","",""
"Kita butuh buat beli tiket aja jangan ditambahin yang aneh aneh, jadi lemot banget.","Negatif","Negatif","","","",""
"Mangkin lengkap tpi kok makin ribet yaa","Konflik","","","","",""
"Tolong kenbalikan versi yang lama saja mudah dimengerti","Konflik","","","","",""
"Kenapa setelah di update jadi lama mau buka apknya. Gak cuma itu, mau pencarian juga lama, mohon ditingkatkan lagi biar tidak ada kendalaðŸ™","Negatif","","","","",""
"knp mau masuk aja susah bngt sih klo yg versi lama bner2 canggih.....","Negatif","","","","",""
"BURUKKKKKKKK!!!!","Negatif","","","","",""
"Kok malah jadi ribet ya min kalo mau cek jadwal Commuter line. Lebih enak aplikasi sebelum nya","Negatif","Negatif","","","",""
"Gara gara update lemot bangattt","Negatif","","","","",""
"Kurang faham fitur baru jelek menurut saya sih","Negatif","","","","",""
"Aplikasi nya blm memuaskan masa loading terus sih masa mandang provider kartu. Tolong dong di tingkan lagi sama meraka kesusahan pake aplikasi ini","Negatif","","","","",""
"Malah engga ada jadwal setelah update. Aplikasi payah","Negatif","","","","",""
"benerin dulu sistemnya","Positif","","","","",""
"Saya mau lihat jadwal kereta sekaligus pesan tiket sulit untk d buka.g tau..g jelas.padahal sblmnya juga mudah.pdhal urgent..","Negatif","Negatif","","","",""
